stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,12.59,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,1,1,1,3,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0.82,11.49,0.82,0,0,0,0,0,0,0,2.46,0,0,0,0
 36-46,0,0.81,0,0,0,2.42,0.81,0,0,0,0.81,0,0,0,0,0,0,0,0,55.59,0,0,0,0,0.81,0,0,0,5.64,0,0,0,0
 48-58,0,0,0,0,0.57,11.48,0,0.57,4.02,0,0.57,0,0,0,0,0,2.87,0,0,126.81,0,0,0,0,0,0,0,0,13.77,0,0,0,0
 60-70,0,0,0,0,0,92.26,0,0,7.85,0,0.98,0,0,0.98,0,0,6.87,0,1.96,282.68,0,1.96,0,0,0.98,0.98,0,0,43.19,0,0,0,0
 72-82,0,0.98,0,1.96,2.94,213.02,0,0.98,14.72,2.94,1.96,0,0,0,0,0,16.69,0,1.96,452.55,0,0,0.98,0,0.98,0,0,0,36.32,0.98,0,0.98,0.98
 84-94,0,1.06,0,4.25,1.06,145.5,0,0,13.81,0,2.12,0,0,0,1.06,0,5.31,1.06,2.12,276.13,0,0,2.12,0,2.12,0,0,0,12.74,1.06,1.06,1.06,2.12
 96-106,0,0,0,6.56,3.28,156.28,1.09,1.09,18.58,2.19,3.28,1.09,1.09,3.28,0,0,13.11,0,0,279.77,1.09,1.09,2.19,0,0,0,0,0,8.74,0,0,1.09,2.19
108-118,0,0,0,1.53,1.53,143.24,0,0,17.62,0,0.77,0,0,0.77,0,0.77,12.26,0,0,373.79,0,0,1.53,0,0,0,0,0,3.83,1.53,0,1.53,1.53
120,0,0,0,5.88,5.88,105.83,0,0,21.56,0,7.84,0,0,3.92,0,0,17.64,0,0,462.51,0,1.96,3.92,0,1.96,0,0,0,11.76,3.92,0,1.96,1.96
