stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.2,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,137,7,0,108,0,0,0,1,0,0,2,0,0,1,0,0,112,0,0,102,477,2,0,7,2,0,7,0,1,0,1,8,37,0,1,0,0
 24-34,0.82,0,1.64,62.39,2.46,0,129.7,0,0,0.82,4.93,0,0,15.6,0,0.82,2.46,0,0,154.32,0,0,48.43,909.51,2.46,0.82,1.64,0,0.82,7.39,0,0,1.64,0,1.64,92.76,0,0.82,0,0.82
 36-46,0,0,0,23.36,0,0,147.44,0,0.81,0,38.67,0,0,16.11,0.81,0,0.81,1.61,0,149.85,0,2.42,20.14,486.62,1.61,1.61,7.25,0,0.81,5.64,0,0,0,0,0,66.87,0,1.61,0,0
 48-58,0,0,0,9.18,0,0,89.51,0,0.57,2.87,88.94,0,2.3,6.89,0,0,1.15,0,0.57,200.83,0.57,2.3,23.53,249.61,0.57,0,2.3,0,1.72,2.3,0.57,0,0,0,0,32.71,0.57,0.57,0,0
 60-70,0,0,0,9.82,0,0,38.28,0,0,1.96,89.32,0.98,0.98,4.91,0,0,2.94,0,0,251.27,0,0.98,19.63,104.04,0,0,2.94,0,0.98,1.96,0,0,0,0,0,9.82,1.96,0,0.98,0
 72-82,0,0,0,6.87,0,0,52.03,0.98,0.98,3.93,102.09,0,1.96,0.98,0,0,7.85,0.98,0,347.51,0,2.94,14.72,126.63,0,0,2.94,0,0,1.96,0,0,0,0,0,7.85,2.94,0,0.98,0
 84-94,0,0,0,14.87,0,0,49.92,2.12,2.12,1.06,37.17,0,2.12,2.12,0,0,2.12,1.06,1.06,202.85,0,6.37,12.74,80.71,0,0,2.12,0,1.06,3.19,0,0,0,0,0,4.25,2.12,0,3.19,1.06
 96-106,0,0,0,13.11,2.19,0,48.09,1.09,4.37,0,60.11,0,0,0,0,0,3.28,0,0,224.03,0,5.46,12.02,73.22,0,0,2.19,0,2.19,5.46,0,0,0,0,0,2.19,2.19,2.19,2.19,1.09
108-118,0,0.77,0,12.26,0,0.77,31.4,0.77,1.53,0,52.09,0,0,0.77,0,0,4.6,0,0,189.96,0.77,3.06,8.43,57.45,0,0,6.13,0,1.53,2.3,0,0,0,0,0,2.3,1.53,0,2.3,0
120,0,0,0,13.72,0,0,60.75,0,1.96,0,45.08,1.96,0,0,1.96,0,0,0,0,115.63,0,1.96,7.84,70.55,0,0,0,0,1.96,5.88,0,0,0,0,0,0,0,0,5.88,0
