stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,474.41,1172.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,1158.5,3818.76,0,55.17,0,0,0,0,0,0,0,0,0,140.98,0,0,0,0,0,0,0,0,0,0,931.7,61.3,0,0,281.96,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,609.86,307.56,0,307.56,0,2.63,0,1159.26,0,0,0,0,0,412.71,0,0,0,0,0,0,0,0,0,0,6364.11,499.46,0,0,4655.45,0,5.26,31.54,0,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,305.26,0,191.97,0,12.59,0,1774.89,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,7543.29,434.28,0,0,4484.43,0,15.73,15.73,28.32,188.82,0,47.2,22.03,0,0,0,0,0
 14-21,0,4,0,3,159,109,0,304,0,0,0,54,3,0,5,0,0,0,1,0,109,0,0,78,3136,110,3,9,85,0,3,0,1455,6,5,826,1682,0,0,45,0,0
 24-34,0,0,0.82,2.46,84.55,14.78,0,130.52,0,0,4.93,49.25,4.93,0,9.85,0.82,0.82,0,1.64,2.46,251.18,0,0,81.26,2356.68,8.21,0.82,40.22,0,0.82,2.46,0,4.1,4.1,0.82,148.57,668.18,0,0,245.44,0,0
 36-46,0,0,0,0,29,0.81,0,138.58,0,2.42,6.45,82.98,0,0,12.09,0.81,0,0.81,0.81,0,306.96,0.81,2.42,55.59,1551.72,3.22,0.81,21.75,0,0.81,6.45,0,0,1.61,0,0.81,494.68,0,1.61,177.25,0.81,1.61
 48-58,0,0,0,0,24.67,1.15,0,216.32,0,6.89,4.59,122.22,0.57,0,20.66,1.15,0,0.57,2.3,0.57,465.36,0,4.59,38.44,708.65,0,1.72,20.66,0,0,11.48,0,0,0,0,0,295.51,0,1.15,136.57,0,0.57
 60-70,0,0,0,0,20.61,1.96,0,394.57,0,6.87,3.93,134.47,0,0,19.63,1.96,0.98,0.98,1.96,0,827.42,1.96,12.76,25.52,399.48,0,0,17.67,0,3.93,8.83,0,0,0.98,0,0,99.13,0,19.63,127.6,5.89,0
 72-82,0,0,0,0,24.54,3.93,0,424.08,0.98,2.94,4.91,178.66,2.94,0,33.38,0.98,0,0,4.91,0,1032.71,0,29.45,59.88,365.18,0.98,0.98,40.25,0,13.74,7.85,0,0,4.91,0,0,25.52,0.98,18.65,271.92,19.63,0
 84-94,0,0,1.06,0,27.61,2.12,0,378.09,1.06,9.56,5.31,107.27,2.12,0,25.49,1.06,2.12,1.06,3.19,1.06,714.75,0,27.61,31.86,191.17,0,0,32.92,0,5.31,20.18,0,0,1.06,0,0,30.8,1.06,10.62,234.71,26.55,0
 96-106,0,0,0,0,21.86,8.74,1.09,312.55,0,8.74,3.28,113.66,1.09,0,44.81,7.65,2.19,3.28,3.28,2.19,593.42,1.09,12.02,33.88,199.99,1.09,0,52.46,0,12.02,13.11,0,0,4.37,0,0,9.84,1.09,15.3,296.16,21.86,1.09
108-118,0,0,0,0,24.51,1.53,0,205.28,0,6.13,1.53,95.75,0,0,14.55,0.77,1.53,1.53,6.13,1.53,494.81,0,13.02,19.15,193.02,0.77,3.06,31.4,0,12.26,4.6,0,0,2.3,0,0,5.36,1.53,9.96,219.83,13.02,0
120,0,0,0,0,17.64,0,1.96,156.78,0,5.88,1.96,88.19,3.92,1.96,29.4,0,1.96,0,3.92,0,382.16,0,17.64,11.76,178.34,0,0,31.36,0,3.92,7.84,1.96,0,0,0,0,5.88,0,13.72,219.5,19.6,0
