stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,10.51,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,34.62,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,1,8,0,0,0,1,0,1,0,2,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0,16.42,0,0,0,0.82,0,0,0.82,0.82,4.1,0,0,0
 36-46,0,0,0,1.61,2.42,0,0.81,0,0,0,0,0,1.61,0,0,1.61,16.11,0.81,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0.57,0,4.59,0,0.57,0,0,0,0,0,0.57,0,0,1.15,10.9,0,0,0,0,0,0,0,0,2.3,0.57,0,0.57
 60-70,0,0,0,0,9.82,0,0.98,0,0,0,0,0,0,0,0,0.98,12.76,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,10.8,0,0.98,0,0,0,0,0,2.94,0.98,0,0,13.74,0,0,1.96,0,0,0,0,0,0.98,0.98,4.91,0
 84-94,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,0,2.12,1.06,9.56,0,0,0,1.06,0,0,0,0,2.12,0,12.74,0
 96-106,0,0,1.09,0,1.09,0,1.09,0,0,0,0,0,4.37,0,0,0,1.09,0,0,1.09,3.28,0,0,1.09,0,0,1.09,15.3,0
108-118,0,0,0,0.77,0.77,0.77,1.53,1.53,0,0.77,1.53,0.77,0.77,0,0.77,0,5.36,0,0,0,2.3,0,0,0,0,0,1.53,8.43,0
120,0,0,0,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,9.8,0
