stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,1.64,0.82,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0,0.81,0
 48-58,0,0.57,0,0,0,0,1.72,0,0,0,0,2.87,0,0,0,2.3,0,0
 60-70,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0.98,0.98,0,0,3.93,0,0
 72-82,0,0,1.96,0,0.98,0,1.96,1.96,0,0.98,0.98,1.96,0,0,0,13.74,0,0
 84-94,0,0,4.25,0,1.06,0,0,2.12,1.06,0,0,2.12,0,0,0,12.74,0,0
 96-106,1.09,0,3.28,0,1.09,0,0,2.19,0,0,0,3.28,0,0,0,18.58,0,1.09
108-118,0,0,2.3,0,0,0,1.53,0,0,0.77,0,0.77,0,0.77,0,10.72,0,0
120,0,0,1.96,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0,0,13.72,0,0
