stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,periderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,23.8,0,0,3.28,0,0
 36-46,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,33.84,0,0,0,0,0
 48-58,0,0,1.72,0,0,0.57,0,0,0,0,0,1.72,0,0,0,2.3,24.67,0,1.72,0,0,0.57
 60-70,1.96,0,1.96,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98,1.96,30.43,0,0,0,0,0
 72-82,0.98,0,0.98,0,0.98,0,0,0,0,0,0,1.96,0,0,0,3.93,25.52,0,0,1.96,0.98,0
 84-94,1.06,0,3.19,4.25,0,0,0,1.06,1.06,0,0,3.19,0,0,2.12,4.25,64.78,0,0,1.06,0,0
 96-106,1.09,1.09,0,5.46,2.19,0,0,1.09,0,0,0,2.19,0,1.09,1.09,5.46,48.09,0,0,0,0,0
108-118,3.83,0,0,3.83,0,0,0.77,0.77,0.77,0,0,6.13,0.77,0.77,0.77,0.77,26.04,0.77,0,0,0,0
120,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,1.96,9.8,0,0,0,0,0
