stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,1,0,0,1,1,0,0,0,1,1,16,0,2,0,3,1,3,0,0
 24-34,0,0.82,0.82,0,1.64,0,0,0,0,2.46,1.64,29.55,0,0,0.82,0,0.82,4.93,1.64,0
 36-46,0.81,0,8.06,0,0.81,0,0,0,0,1.61,0,24.17,0,0,0,0,0,3.22,0,0
 48-58,0.57,0,9.18,0,0,0,0.57,0,0.57,3.44,0.57,11.48,0,0,0,0,0,1.72,0,0.57
 60-70,0.98,0,5.89,0,2.94,0,0,0,0,0.98,0,13.74,0,0,0,0,0,1.96,0,0
 72-82,0,0,6.87,0,0.98,0,0,0,0,5.89,0.98,3.93,0,0,0,0,0,1.96,0,0
 84-94,0,1.06,3.19,0,1.06,0,0,1.06,0,2.12,1.06,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,4.37,0,0,0,0,0,0,1.09,0,5.46,0,0,0,0,0,0,0,0
108-118,0.77,0,0,0.77,0.77,0.77,0,0,0,0,0,4.6,0,0,0.77,0,0,0.77,0,0
120,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0,5.88,3.92,0,0,0,0,0,0,0
