stage,axial,blastomeres,fin_mesenchyme,gut,immune,lateral_line,mesenchyme,neural,paraxial_mesoderm,pericytes,periderm,pronephros,vasculature
  5-6,6.13,12.26,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0,0,0,0,0
120,0,0,1.96,0,3.92,0,0,0,0,0,9.8,0,0
