stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,105,0,2,0,0,0,0,0,1,0,3,37,0,0,0,0,0
 24-34,0,0,3.28,4.1,0,0,6.57,0,0,0,5.75,1.64,0,0,0,0,0,0,0,0.82,2.46,0,1.64,575.42,0,36.12,0,0,0,5.75,0,0,0,0,143.65,0,0,0,0,0
 36-46,0,0,4.03,0.81,0,0,7.25,0,0.81,0,12.09,0.81,0,0,0,0,0,0,0,2.42,0.81,0,0,1003.06,0.81,66.87,0,0,0,4.83,0,0,0,0,181.28,0,0,0.81,0,0
 48-58,0,0,3.44,6.89,0,0,81.48,0,0,0,33.28,0,0,0,0,0,0,0,0,10.33,0.57,0.57,1.72,1439.68,0.57,51.07,0,0,0,2.87,0,0,0,0,227.8,0,0,0,0,2.3
 60-70,0,0,2.94,6.87,0,0,189.43,0.98,0.98,1.96,56.93,0.98,0,1.96,0,0,0,0,0.98,13.74,0.98,0.98,0.98,2302.65,0,57.91,0,0,0,5.89,0,0,0.98,0,199.25,0.98,0,1.96,0,0.98
 72-82,0,0,13.74,28.47,1.96,0,323.95,0,0.98,0,101.11,6.87,0,0.98,0,1.96,0,0,0,39.27,0,0.98,3.93,2511.09,0,94.24,0,0,0.98,3.93,0.98,0,0,0,160.99,14.72,0,1.96,0.98,0
 84-94,0,0,9.56,22.3,3.19,0,240.02,0,1.06,1.06,54.16,11.68,1.06,2.12,1.06,1.06,2.12,1.06,0,25.49,0,2.12,5.31,1293.56,1.06,101.96,0,0,0,8.5,0,0,0,0,81.78,80.71,0,2.12,1.06,1.06
 96-106,0,0,14.21,25.14,6.56,2.19,185.78,1.09,2.19,0,56.83,12.02,0,4.37,4.37,1.09,0,5.46,0,32.79,1.09,2.19,7.65,1168.25,0,148.63,0,0,0,5.46,1.09,0,1.09,0,32.79,157.37,1.09,1.09,0,1.09
108-118,0,0,10.72,19.92,3.06,0,160.09,0.77,1.53,0.77,39.06,4.6,0,2.3,0,0,0.77,1.53,0,24.51,0,0,0.77,1353.46,0,105.7,1.53,0,0,5.36,0,0,0,0,33.7,186.13,0,0,0.77,0
120,0,0,1.96,31.36,9.8,0,195.98,0,0,0,39.2,1.96,0,1.96,0,0,0,0,0,25.48,0,1.96,3.92,1507.08,0,66.63,1.96,0,0,5.88,0,0,3.92,0,21.56,52.91,0,3.92,1.96,1.96
