stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,579.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,30.65,312.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,26.29,5.26,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,14,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,4.1,0,0.82,0,0,2.46,0,0,0,0.82,0,0,0,0,4.1,0,0,1.64,31.19,0,0,0,0,0,4.1,0,3.28,0,0,4.93,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,6.45,0,0,0,0.81,0,0,0,0,0,0,0,0,0,2.42,0,0,0.81,26.59,0,4.83,0.81,0,0,7.25,0,2.42,0,0,7.25,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,11.48,0,0,0,4.59,0,0,0,0.57,0,0,0.57,0,1.15,6.31,0,0.57,1.15,32.13,0,1.15,1.15,0,0,4.02,0,1.72,0,0,6.89,0,0,0,0
 60-70,0,0,0,0,2.94,0,0,22.58,0.98,0.98,0.98,4.91,0,0.98,0,0.98,0,0.98,0,0,0.98,19.63,0,0,0,45.15,0,0,0,0,0,6.87,0,1.96,0.98,0,4.91,0,0.98,0,0
 72-82,0,0,1.96,0,2.94,0.98,0,22.58,0,0.98,0,17.67,1.96,0.98,1.96,2.94,1.96,0,0,0,0.98,21.6,0,0,0.98,43.19,0,4.91,1.96,0,0,3.93,0,4.91,1.96,0,1.96,1.96,0.98,1.96,2.94
 84-94,0,0,0,0,12.74,0,0,21.24,0,2.12,0,7.43,5.31,0,0,2.12,4.25,1.06,0,2.12,2.12,20.18,1.06,0,3.19,23.36,0,0,6.37,0,1.06,18.05,0,5.31,0,0,2.12,0,2.12,0,2.12
 96-106,0,0,0,0,8.74,0,0,30.6,0,1.09,1.09,19.67,4.37,0,0,2.19,4.37,0,4.37,0,1.09,15.3,0,2.19,0,37.16,0,2.19,6.56,0,3.28,13.11,0,7.65,0,0,1.09,1.09,5.46,3.28,1.09
108-118,0,0,1.53,0,27.57,0,2.3,18.38,1.53,6.13,0.77,9.19,5.36,0,0.77,3.83,5.36,3.83,0.77,3.06,0.77,11.49,0.77,0.77,0,30.64,1.53,2.3,0.77,0,1.53,15.32,0,8.43,3.83,0,0.77,0.77,0,1.53,1.53
120,1.96,0,1.96,0,45.08,1.96,1.96,23.52,1.96,1.96,0,17.64,9.8,0,0,1.96,1.96,0,1.96,1.96,1.96,7.84,1.96,3.92,0,43.12,0,5.88,0,0,0,23.52,0,11.76,1.96,0,1.96,0,1.96,1.96,1.96
