stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,263.56,4256.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.96,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,2384.43,0,12.26,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,12.26,0,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,57.83,0,70.98,0,0,0,254.99,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,1550.94,49.95,0,0,617.75,0,0,21.03,0,0,0,0,0,0,0,0,0
 10-12,0,66.09,0,62.94,0,12.59,0,283.23,0,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,0,1925.95,97.56,0,0,664.01,0,0,31.47,6.29,66.09,9.44,3.15,0,0,0,0,0
 14-21,0,0,1,10,54,30,0,64,0,0,0,12,3,0,0,0,2,0,1,0,0,32,0,0,27,599,24,1,5,10,0,4,3,58,2,63,173,0,0,1,0,1
 24-34,0,0,0.82,1.64,26.27,2.46,0,148.57,0,1.64,0.82,15.6,0.82,0,0.82,0.82,4.1,0,0,1.64,0,69.77,1.64,0,28.73,681.31,5.75,1.64,10.67,0.82,0,7.39,0,0,0,2.46,113.28,0,0,11.49,0,0
 36-46,0,0,0,0,10.47,0,0,145.83,0.81,1.61,1.61,14.5,0.81,0,0.81,0.81,1.61,0.81,1.61,0.81,0,43.51,1.61,0.81,8.86,273.12,1.61,5.64,1.61,0,0,4.83,0,0,1.61,0,51.56,0,0,1.61,0,0.81
 48-58,0,0,0,0,10.33,1.15,0,132.55,0,0,1.15,15.49,0.57,0,0,0,1.15,2.3,1.72,1.15,0,53.94,1.15,3.44,10.9,115.91,0,0,2.3,0,0,0.57,0.57,0,0,0,22.38,0,0,1.72,0,0
 60-70,0,0,0.98,0,8.83,1.96,0,92.26,0,0,0.98,28.46,5.89,0,0,0.98,0,0,0.98,1.96,0,37.3,1.96,0,7.85,67.73,1.96,0.98,0.98,0,0,0,0,0,0.98,0,4.91,1.96,0,2.94,0.98,0
 72-82,0,0,10.8,0,8.83,1.96,0,41.23,0,0,6.87,34.36,8.83,0,0,0,1.96,0,1.96,0,0.98,54.97,5.89,1.96,13.74,66.75,1.96,0.98,0.98,0,0,0.98,0,0,0,0,4.91,1.96,2.94,5.89,0,1.96
 84-94,0,0,9.56,0,15.93,4.25,1.06,48.85,1.06,4.25,2.12,19.12,8.5,0,0,2.12,0,2.12,2.12,3.19,1.06,58.41,1.06,3.19,15.93,65.85,3.19,0,5.31,0,1.06,5.31,0,0,0,0,3.19,3.19,1.06,2.12,1.06,0
 96-106,0,0,5.46,0,18.58,4.37,1.09,33.88,0,0,2.19,15.3,19.67,0,1.09,3.28,1.09,0,0,3.28,0,33.88,0,1.09,4.37,43.71,2.19,3.28,2.19,0,0,3.28,1.09,0,1.09,0,1.09,0,1.09,4.37,0,0
108-118,0,0,1.53,0,15.32,5.36,1.53,22.98,0,0,3.06,32.94,13.02,0,0,2.3,1.53,0.77,0,2.3,0.77,32.17,0,0.77,9.96,79.66,1.53,0.77,1.53,0,1.53,2.3,0.77,0,0,0,0,2.3,0,4.6,0,2.3
120,0,0,3.92,0,25.48,11.76,0,31.36,0,3.92,3.92,33.32,19.6,0,1.96,3.92,0,1.96,0,1.96,0,54.87,1.96,1.96,11.76,76.43,1.96,0,1.96,0,0,1.96,0,0,0,0,3.92,0,1.96,3.92,0,0
