stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,immune,mesenchyme,muscle,neural,periderm,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,12.26,0
  7-9,0,0,0,0,0,0,0,0,2.63,5.26,0
 10-12,0,0,0,0,0,0,0,0,12.59,3.15,0
 14-21,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,1.61,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0.98,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,1.06,1.06,0,1.06,0,0,0,1.06,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,10.93,0
108-118,0,0,0,0.77,0.77,0.77,0.77,0,0.77,3.83,0
120,0,0,0,0,0,1.96,0,0,0,9.8,0
