stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,784.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,10.51,0,0,0,15.77,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,286.53,13.14,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,22.03,0,9.44,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,248.61,3.15,0,0,69.23,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,18,92,28,0,51,0,1,0,17,6,0,2,0,1,0,0,0,45,0,0,35,520,7,1,33,9,0,1,29,9,2,53,169,0,0,2,0,0
 24-34,0,0,0,7.39,36.94,0,0,190.44,0.82,0,0.82,18.88,2.46,0,1.64,0,0.82,1.64,2.46,0,77.98,0,1.64,26.27,1058.9,4.1,3.28,15.6,0,0,3.28,0,2.46,0.82,12.31,202.75,0,0,4.93,0,2.46
 36-46,0,0,0,2.42,11.28,0,0,130.52,1.61,0.81,0.81,24.98,1.61,0,0.81,0,0,1.61,0.81,0.81,50.76,0,0.81,11.28,468.9,0,0,8.06,0,0,2.42,0,0.81,0,0,87.82,0,0,5.64,0,0
 48-58,0,0,0.57,0.57,8.03,0,0,210.01,2.3,0.57,4.59,57.95,10.33,0,2.3,0.57,0,0,1.72,2.3,102.14,0,3.44,15.49,378.14,3.44,2.3,20.66,0,0,5.74,0,0.57,0,0,83.78,0,0,6.31,0,0.57
 60-70,0,0,0,0,12.76,0,0,62.82,0.98,0.98,0.98,32.39,22.58,0,0,2.94,0,0.98,0,1.96,60.85,0,1.96,4.91,107.97,0.98,0,17.67,0,0.98,4.91,0,1.96,0,0,12.76,0,0,5.89,0,0
 72-82,0,0,0,0,5.89,0,0,47.12,0,2.94,0,19.63,25.52,0,0,0.98,0,0,0,0.98,59.88,0,4.91,7.85,83.44,0.98,0.98,21.6,0,0,3.93,0,1.96,0,0,4.91,0,1.96,2.94,4.91,0.98
 84-94,0,0,0,0,7.43,0,2.12,42.48,1.06,1.06,0,15.93,54.16,0,2.12,1.06,1.06,0,0,3.19,43.54,0,5.31,5.31,52.04,1.06,0,24.43,0,0,5.31,0,2.12,0,0,2.12,1.06,1.06,2.12,1.06,0
 96-106,0,0,0,1.09,9.84,2.19,1.09,22.95,1.09,1.09,0,13.11,41.53,0,3.28,4.37,1.09,1.09,0,0,25.14,1.09,0,3.28,42.62,0,1.09,41.53,0,0,5.46,0,0,0,0,2.19,1.09,1.09,2.19,2.19,0
108-118,0,0,0,0.77,11.49,0.77,2.3,16.09,0,0.77,1.53,9.19,26.04,0,0,0,2.3,0,0.77,1.53,20.68,0.77,1.53,4.6,37.53,0,0,19.92,0,0.77,2.3,0,2.3,0,0,0,0.77,0,2.3,0,0
120,0,0,0,1.96,17.64,5.88,0,27.44,0,1.96,1.96,5.88,27.44,0,1.96,1.96,5.88,0,0,3.92,27.44,0,0,3.92,56.83,0,0,23.52,0,0,3.92,0,1.96,0,0,0,1.96,3.92,0,0,0
