stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,131.78,5402.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.85,0,0,0,0,0,0,0,0,0,0
  5-6,269.7,2641.87,6.13,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0,134.85,24.52,0,0,67.43,49.04,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,26.29,84.12,0,0,0,110.41,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,817.53,42.06,0,0,483.68,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,53.5,0,12.59,0,97.56,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,761.57,22.03,0,0,289.52,0,6.29,0,34.62,0,0,3.15,0,0,0,0
 14-21,0,0,0,24,5,0,19,0,0,6,0,0,0,0,1,0,0,2,0,18,0,11,294,0,2,3,9,7,0,46,2,2,19,101,0,0,1,0
 24-34,0,0,0.82,9.85,3.28,0,92.76,1.64,0,8.21,0,0,0.82,1.64,0,0.82,0.82,0,1.64,49.25,0,16.42,694.44,1.64,6.57,4.1,0,12.31,0,0,0,0,2.46,147.75,0,0,6.57,1.64
 36-46,0,0,0,8.86,0,0,226.39,0,0,11.28,0,0,0,2.42,0,0,0,1.61,0,48.34,1.61,11.28,459.23,0,1.61,2.42,0,4.03,0.81,0,0.81,0,0,96.68,0,0,1.61,1.61
 48-58,0,0,0,6.31,1.15,0,288.62,0.57,0.57,10.9,0.57,0,1.15,0.57,0,0.57,0.57,0.57,0.57,53.36,3.44,8.03,204.27,0.57,1.72,2.3,0,1.72,0,0,0,0,0,37.87,0,0,1.15,0.57
 60-70,0,0,0,5.89,0,0,183.54,0,0,15.7,0.98,0,0,0.98,0,0.98,0,0,0,32.39,0.98,3.93,128.58,0,0,0.98,0,0.98,0,0,0,0,0,1.96,0,0.98,0.98,0
 72-82,0,0,0,5.89,0,0,80.5,0,0,19.63,1.96,0,0,1.96,0.98,1.96,0,0,0,30.43,4.91,5.89,83.44,0,1.96,0.98,0,0.98,0,0,0,0,0,2.94,0,0,0.98,0
 84-94,0,0,0,6.37,2.12,0,74.34,0,0,11.68,7.43,0,0,1.06,0,1.06,0,0,0,28.68,3.19,6.37,54.16,0,0,2.12,0,1.06,0,0,0,0,0,2.12,1.06,0,7.43,0
 96-106,0,0,0,2.19,1.09,1.09,51.36,0,0,8.74,1.09,0,0,0,0,1.09,0,0,0,20.76,1.09,1.09,43.71,1.09,0,3.28,0,1.09,1.09,0,0,0,0,0,0,0,2.19,0
108-118,0,0,0,4.6,0.77,0,39.83,0,0,10.72,0.77,0,0,3.06,0.77,0.77,0,0,0.77,10.72,0,1.53,72,0,0.77,0.77,0,0,0,0,1.53,0,0,1.53,0,0,0.77,0
120,0,0,0,1.96,1.96,0,31.36,0,0,7.84,0,0,0,5.88,0,0,0,0,0,15.68,1.96,3.92,56.83,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
