stage,blastomeres,epidermis,eye,fast_muscle,glial,heart,lateral_line,mesenchyme,neural,otic,paraxial_mesoderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 24-34,0,0,0,0,0,0.82,0,0,1.64,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0.81,0,4.03,0,0,2.42,0.81
 48-58,0,0,0,0,0,0,0,0.57,4.02,0,0,1.72,1.15
 60-70,0,0,2.94,0,0.98,0,0,0.98,19.63,0,0,2.94,0
 72-82,0,0,9.82,0.98,0,0,2.94,2.94,20.61,0,0,2.94,0
 84-94,0,0,3.19,0,2.12,0,1.06,1.06,15.93,6.37,0,1.06,0
 96-106,0,0,5.46,0,1.09,0,0,0,14.21,6.56,0,1.09,0
108-118,0,0.77,0.77,0,2.3,0,0,0.77,9.19,2.3,0,1.53,0
120,0,0,5.88,0,0,0,0,0,23.52,3.92,0,1.96,0
