stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,1,2,1,0,3,0,0,0,2,0,0,2,0,0,0,1,2,0,0,2,15,1,1,0,1,0,0,1,2,0,2,25,0,0,0,0,0
 24-34,0,0,8.21,1.64,0.82,0,0,1.64,0,0,0.82,0,0.82,0,3.28,0,0,0,0,13.13,0.82,1.64,4.93,36.94,1.64,0.82,0,0,0.82,0,0,0,0,0,13.95,0,0,1.64,0,0
 36-46,0,0,2.42,0,0,0,0,6.45,0,0.81,2.42,0,0,0,1.61,0,0,0.81,0,19.34,0,8.06,4.03,97.49,0,0,0,0,0.81,0.81,0,0.81,0,0,8.86,0,0,1.61,0,0
 48-58,0,0,4.02,0,0.57,0,0,9.75,0,0,2.87,0,0,0,0,0,0,0,0,25.25,1.15,11.48,4.59,133.7,0,1.72,0,0,0.57,1.15,0,0,0,0,9.75,0,0.57,0.57,0,0
 60-70,0,0,6.87,0,0.98,0.98,0,19.63,0,1.96,8.83,1.96,1.96,0,2.94,0,0,0.98,0,35.33,0.98,11.78,2.94,176.67,0,0,0,0,2.94,0,0,0,0,0,8.83,0,2.94,0,0,0
 72-82,0,0,19.63,0,3.93,0.98,0,13.74,0,2.94,7.85,23.56,0,0,0.98,0,0.98,0,0,34.36,10.8,6.87,3.93,265.05,0,0,0,0,6.87,0,0,0,0,0,9.82,0,1.96,0.98,2.94,0.98
 84-94,0,0,22.3,0,3.19,1.06,0,23.36,0,2.12,9.56,35.05,0,1.06,1.06,2.12,1.06,0,0,36.11,6.37,11.68,2.12,128.51,0,0,0,0,4.25,1.06,0,0,0,0,6.37,0,3.19,1.06,0,0
 96-106,0,0,27.32,0,7.65,3.28,0,9.84,1.09,1.09,12.02,63.39,0,0,1.09,0,2.19,1.09,0,18.58,10.93,3.28,3.28,134.42,0,2.19,1.09,0,6.56,1.09,1.09,0,0,0,7.65,1.09,1.09,0,1.09,0
108-118,0,0,13.02,0,2.3,0,0.77,9.96,0,1.53,10.72,42.89,0,3.06,2.3,0.77,2.3,2.3,0,14.55,3.06,2.3,2.3,157.79,0,0.77,2.3,0,11.49,1.53,0,0,0.77,0,6.89,0,0,0.77,0.77,0.77
120,0,0,7.84,0,7.84,1.96,1.96,11.76,0,0,3.92,37.24,0,1.96,1.96,0,1.96,0,0,19.6,7.84,3.92,5.88,145.02,1.96,0,1.96,0,3.92,3.92,0,0,0,0,5.88,1.96,1.96,0,0,0
