stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,1,1,3,0
 24-34,0,0,0,15.6,0,0.82,0,0,0.82,0,0,2.46,0,46.79,0,0,0,0,0,3.28,0
 36-46,0,0,0,30.62,0,0.81,0,0,0,0,0,1.61,0,8.06,0,0,0,0,0,0,0
 48-58,0,0,0,20.66,0,1.15,0,0,0,0,0.57,0,0,11.48,0,0,0,0,0,1.72,0
 60-70,0,0.98,0,26.5,0,0,0,0,0,0,0,1.96,0,21.59,0,0,0,0,0,0,0.98
 72-82,0,0.98,0,26.5,0,0,0,0,0,0,0.98,1.96,0.98,8.83,0,0,0,0,0,0,0
 84-94,0,0,0,16.99,0,0,0,0,0,0,0,2.12,1.06,7.43,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,12.02,0,0,1.09,1.09,0,1.09,0,0,2.19,3.28,0,1.09,0,0,0,0,0
108-118,0,0,0,10.72,0.77,0.77,0,0.77,0,0,0,0.77,0.77,3.83,0,1.53,0,0,0,0,0.77
120,0,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0,1.96,0,0,0,0,0,0
