stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,15.73,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,7,3,0,0,0,0,0,0,11,0,3,6,20,0,0,2,0
 24-34,0,0,2.46,1.64,1.64,0,0,1.64,0,0,0,0.82,0,0,0,0,0,13.95,0,0,25.45,57.46,0,1.64,1.64,0,0.82,0,0,0,0,0,0,58.28,0,0,0.82,0
 36-46,0,0,3.22,1.61,3.22,0,0,0.81,4.03,0,0,0,0,0,0,0.81,0.81,29.81,0,0,10.47,128.1,0,0.81,0,0,0,0,0,0.81,0,0,0,59.62,0,0,0,0.81
 48-58,0,0,5.74,0,20.66,0.57,0,0.57,18.36,0,0,0,0.57,0.57,0.57,0,0,54.51,0,0,9.75,241.57,0,0,1.15,0,0,0,0,0,0,0,0,57.38,0,0,0.57,0
 60-70,0,0,3.93,0,140.36,0,0,1.96,43.19,0.98,0,0.98,0,0.98,0.98,0,0,74.6,0,0,5.89,668.42,0,1.96,0.98,0,0,0.98,0,0,0,0,0,105.02,0.98,0.98,0,0
 72-82,0,0,11.78,2.94,261.12,0,0,0.98,60.86,0,0,0,0.98,0.98,0,0,0,116.82,0,0.98,5.89,727.41,0,0.98,4.91,0,0.98,0.98,0,0,0.98,0,0,80.5,0,1.96,0.98,0
 84-94,0,0,11.68,0,150.81,1.06,0,1.06,45.67,0,0,0,1.06,0,1.06,1.06,0,74.34,0,1.06,1.06,355.78,0,1.06,9.56,0,2.12,1.06,0,0,3.19,0,0,35.05,1.06,0,3.19,1.06
 96-106,0,0,9.84,1.09,195.62,0,1.09,1.09,39.34,0,0,0,1.09,1.09,4.37,1.09,0,43.71,1.09,0,0,326.76,0,3.28,15.3,0,0,2.19,1.09,0,2.19,0,0,27.32,2.19,2.19,1.09,2.19
108-118,0,0,5.36,0.77,114.89,0,0,0.77,27.57,0,0,0,1.53,0.77,0.77,0,0.77,30.64,0,0,2.3,381.45,0,0.77,5.36,0,1.53,0,0,0,2.3,0,0,11.49,3.83,0,0,0.77
120,0,0,7.84,0,64.67,0,0,1.96,39.2,1.96,0,0,1.96,0,1.96,0,0,27.44,0,0,0,331.2,0,0,1.96,0,1.96,0,0,0,1.96,0,0,13.72,1.96,0,0,0
