stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,208.41,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,7.89,5.26,0,0,21.03,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,160.35,5.26,0,0,52.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,160.5,0,0,0,69.23,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,3,34,0,0,1,3,1,3,3,9,19,0,0,1,0,0
 24-34,0,0,0,2.46,0.82,4.93,0,0,0,8.21,0.82,0,0.82,0,0,0,0.82,0,0,5.75,0,0,4.93,66.49,3.28,3.28,0.82,0,13.13,0,0,0,21.34,0,0,1.64,0,0
 36-46,0,0,0,3.22,0,31.42,0,0.81,0,8.06,0,0,0,0,0,0,0.81,0,0,13.7,0.81,0,1.61,73.32,0,0,0,0,6.45,0,0.81,0,18.53,0,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,30.41,0.57,0,1.15,10.33,0,0,0,0,0,0.57,0.57,0,0,13.2,0,0,4.02,48.2,0.57,3.44,1.15,0,1.15,0,0,0,17.21,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,30.43,0.98,0,0.98,12.76,0,0,0,0,0,0,0,0,0,14.72,0,0.98,0,42.21,0.98,1.96,0.98,0,0,0,0.98,0,8.83,0,0.98,0.98,0,0
 72-82,0,0,0,1.96,2.94,38.28,0,0,1.96,12.76,0,0,0,0,0,0.98,0.98,0.98,0,16.69,0,0,2.94,41.23,0,1.96,2.94,0,0.98,0,0,0,2.94,0,0,0,0,0.98
 84-94,0,0,0,3.19,0,20.18,0,0,1.06,9.56,0,0,0,0,0,0,0,0,2.12,13.81,0,0,0,9.56,0,2.12,0,0,11.68,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,5.46,2.19,17.49,0,1.09,0,10.93,1.09,0,1.09,0,0,0,0,2.19,0,12.02,1.09,1.09,2.19,18.58,1.09,1.09,4.37,0,5.46,0,0,0,2.19,1.09,0,0,1.09,1.09
108-118,0,0,0,4.6,1.53,11.49,0.77,3.83,0,7.66,1.53,0,0,0.77,0,0,0,0,0,10.72,0,0,0.77,18.38,0,3.83,3.83,0,4.6,0,0.77,0,1.53,0,0.77,1.53,0,0
120,0,0,0,13.72,3.92,13.72,0,0,0,9.8,1.96,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,21.56,1.96,3.92,1.96,0,0,0,3.92,0,1.96,0,0,3.92,1.96,0
