stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,86.19,0,0,2.46,0,0,0,0,0,0,0,0,0,0.82,0,0.82,4.93,0.82,0.82,0,0,0,0.82,0,0
 36-46,0,0,51.56,0,0.81,5.64,0.81,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0,0,0,1.61,0,0
 48-58,0,0,57.38,0,2.87,5.74,0,0,0,0,0,0,0,0,0,1.15,1.15,0.57,4.59,0,0.57,0,0,0,0.57,0,0.57
 60-70,0,0,51.04,0,2.94,6.87,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,94.24,0,1.96,11.78,0,0,0,0,7.85,0,0,0.98,0,2.94,0,0,0.98,0,3.93,0,0,0.98,0,0,1.96
 84-94,0,0,176.3,0,0,22.3,0,0,0,0,6.37,0,0,1.06,0,3.19,2.12,0,1.06,0,4.25,0,0,1.06,0,0,4.25
 96-106,0,0,197.81,0,1.09,12.02,0,0,0,0,15.3,0,1.09,0,1.09,3.28,1.09,0,5.46,0,3.28,1.09,0,1.09,0,0,8.74
108-118,0,0,181.53,1.53,2.3,19.15,0,0.77,1.53,0,19.15,0.77,0,0.77,0,3.83,0,0,3.06,0.77,4.6,0,0,0,0,0.77,8.43
120,0,0,113.67,0,1.96,11.76,0,0,1.96,0,15.68,1.96,0,3.92,1.96,0,0,0,1.96,1.96,5.88,0,0,0,0,0,11.76
