stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,43,0,6,0,0,0,5,0,2,0,16,18,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.97,0,4.1,0,0,0,0,0,0,0,0,36.94,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,12.89,0,0,0,7.25,0,0,0,0.81,0.81,0,3.22,0,0,1.61,658.23,0,1.61,0,0,0,0,0,0,0.81,0,91.04,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,43.04,0.57,0,0,30.99,0,0.57,0,0,0,0,4.59,0,0.57,9.75,862.43,0,1.15,0,0,0,1.72,0,0,0,0,114.19,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,0,101.1,1.96,0.98,0.98,35.33,0.98,0.98,0,0,0,0.98,7.85,0,0,3.93,1505.65,0,3.93,0,0,0,2.94,0,0,0.98,0,156.06,0,0,0.98,0,1.96
 72-82,0,0,0,0,8.83,0,0,128.6,0,0,0,31.41,0.98,0,0,0.98,1.96,0,11.78,0,0,2.94,1270.27,0,1.96,1.96,0,0.98,0,0,0,0,0,99.15,0.98,0,0.98,0.98,0
 84-94,0,0,0,0,8.5,1.06,0,116.82,0,0,1.06,24.43,1.06,1.06,2.12,1.06,1.06,1.06,14.87,0,2.12,1.06,651.03,0,1.06,2.12,0,0,3.19,0,0,0,0,49.92,1.06,0,0,0,0
 96-106,0,0,0,0,6.56,3.28,0,77.59,0,0,0,20.76,3.28,2.19,0,2.19,4.37,0,15.3,0,0,1.09,578.12,0,3.28,0,0,0,1.09,1.09,0,0,0,26.23,2.19,0,0,0,2.19
108-118,0,0,1.53,0,6.13,2.3,0.77,62.81,0,0,0,16.09,0.77,0.77,0.77,0.77,0,0,10.72,0.77,0,3.83,782.81,0,0,0.77,0,0,3.06,0,0,0,0,16.85,0,0.77,0,0,0
120,0,0,0,0,7.84,1.96,0,62.71,0,0,0,9.8,1.96,1.96,0,0,0,0,15.68,0,0,5.88,807.43,1.96,1.96,0,0,0,1.96,0,0,0,0,21.56,0,0,1.96,0,0
