stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,5.26,0,5.26,0,0,0,0,0,0,0,0,0,60.46,0,0,21.03,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,31.47,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,2,1,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,1,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,0.82,0.82,0,13.95,0,0.82,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0.81,4.83,0.81,0,0,0,0,0,1.61,0,0.81,16.11,0,0.81,0,0,0,0.81,0,0,0
 48-58,0,0,0,0.57,6.31,0.57,0,0.57,0,0,0,3.44,0.57,0,6.31,0,0,0,0,0,1.72,0,0,0.57
 60-70,0,0,0,0,2.94,0.98,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,7.85,0.98,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,4.25,1.06,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,1.09,0,1.09,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,1.53,0.77,0,0,0.77,0,0.77,1.53,0,0,6.13,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,1.96,1.96,0
