stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,0,0,1,0,0,5,0,0,0
 24-34,0,0,0.82,3.28,0,1.64,0,0,0,0,0,0,0,2.46,0,0,41.04,1.64,0,0,0,0,0,0,0.82,19.7,1.64,0,0.82
 36-46,0,0,0,2.42,0,2.42,0,0,0,0,0.81,0,0,3.22,0.81,2.42,94.26,0,0,0,0,0.81,0,0,0,18.53,1.61,0,0
 48-58,0,0,0,14.92,0,3.44,0,0,0,0,0,0,0.57,8.03,0,0,76.32,1.15,0.57,0,0,0,0,0,0,9.75,1.15,0,0
 60-70,0,0,0,34.35,0,7.85,0,0.98,0,0,0.98,0,0,9.82,0,1.96,123.67,0.98,0.98,1.96,0,0,0,0,0,15.7,1.96,0,0
 72-82,0,0.98,0,34.36,0.98,6.87,0,0,0,0,0,0.98,0,10.8,0,1.96,89.33,0,1.96,3.93,0,0,0,0,0,9.82,3.93,0,0
 84-94,0,0,0,14.87,0,4.25,0,1.06,1.06,0,1.06,0,0,8.5,1.06,0,46.73,1.06,3.19,1.06,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,2.19,19.67,0,1.09,1.09,0,1.09,0,1.09,0,0,4.37,1.09,1.09,28.41,2.19,4.37,12.02,0,0,0,0,0,1.09,2.19,0,0
108-118,0,0,2.3,11.49,0,1.53,0,0,0,0.77,0,0,0,6.13,0,1.53,34.47,0,2.3,1.53,0,0.77,0,0,0,0.77,0,0.77,0
120,0,0,1.96,21.56,0,1.96,0,0,0,0,0,1.96,0,0,0,1.96,52.91,0,1.96,0,0,0,0,1.96,0,0,0,0,0
