stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,54,0
 24-34,0,0,0.82,0.82,4.1,2.46,0,0,0,0,0,9.03,0,0.82,0,2.46,0,0.82,16.42,0.82,0,0,0,0.82,0,0,0.82,0,359.53,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,8.06,0,0,0,0.81,0,0.81,16.11,0,0,0.81,0,0.81,0,0,3.22,0,281.98,0
 48-58,0,0,0,0,1.15,5.16,0,0,0,0.57,0,10.33,0,0,0.57,1.15,0,0,12.62,0,0,0.57,0,0,0,0,0.57,0,242.15,0
 60-70,0,0,0,0,0.98,5.89,0,0,0,0.98,0,13.74,1.96,0,0.98,0.98,0,0.98,10.8,0,0,0,0,0,0.98,0,1.96,0,186.49,0
 72-82,0,0,0,0,0.98,2.94,0,0,0,3.93,0,23.56,0.98,0,0,3.93,0,0,9.82,0,0.98,0.98,0,0.98,0,0,0.98,0.98,329.84,0
 84-94,0,0,0,1.06,0,2.12,0,0,0,1.06,1.06,6.37,0,0,0,5.31,1.06,1.06,7.43,0,0,1.06,0,0,0,0,0,0,311.18,0
 96-106,0,0,0,1.09,3.28,5.46,2.19,1.09,1.09,3.28,2.19,27.32,2.19,0,0,1.09,0,0,18.58,0,0,1.09,0,1.09,2.19,0,0,0,414.19,2.19
108-118,0.77,0,0,1.53,0.77,6.89,0,0.77,0,0,0.77,11.49,3.83,0.77,0,4.6,0,1.53,9.19,0,0,0,0,0,2.3,0,0,0,309.45,0.77
120,0,0,0,3.92,1.96,0,0,0,0,1.96,0,21.56,5.88,0,0,0,0,0,7.84,0,0,0,0,3.92,0,0,0,0,323.36,0
