stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,2.63,0,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,1,1,0,0,4,0,0,1,0,0,1,0,0,5,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0,0,0,0,0.82,8.21,0.82
 36-46,0,0,0,0,0,0,0.81,0,0.81,0,0,0,20.14,0,0,0,0,0,0,0,0,10.47,0
 48-58,0,0,0,0,0,0,1.72,0.57,0.57,0,0,0,13.77,0,0,0,0,0,0,0,0,6.89,0
 60-70,0,0,0,0,0,0,12.76,0,2.94,0,0.98,0,54.97,0,0.98,0.98,0,0,0,0,0,17.67,0
 72-82,0,0,0,0,0,0,15.71,0,4.91,0,0,0,39.27,0,0,0,0,0,0,0.98,0,7.85,0
 84-94,0,0,0,0,0,0,7.43,0,1.06,0,1.06,0,21.24,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,0,10.93,0,1.09,0,0,0,21.86,0,0,0,0,1.09,0,0,0,3.28,0
108-118,0,0,0,0,0.77,2.3,4.6,0,2.3,0,0,0,28.34,0,0,0,0,0.77,0,0,0,1.53,0
120,0,0,0,0,1.96,0,7.84,0,0,0,1.96,0,21.56,0,0,0,0,0,0,0,0,3.92,0
