stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,0,2.63,0,0,0,2.63,0,0,0,39.43,0,0,0,0,0,0,0,0,0,47.32,44.69,0,0,94.63,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,12.59,56.65,0,0,0,34.62,0,0,0,6.29,0,0,0,0,0,0,0,0,0,220.29,75.53,0,0,232.88,0,0,0,31.47,0,3.15,3.15,0,0,0,0
 14-21,0,0,13,24,3,0,6,0,4,19,0,0,0,0,0,0,32,0,0,17,138,27,0,7,6,0,0,14,0,2,24,131,0,0,0,0
 24-34,0,0,2.46,1.64,0.82,0,16.42,0,15.6,2.46,0,0.82,0,0,0,1.64,31.19,0,0,10.67,274.99,1.64,0,3.28,0,0,0,0,0,0,4.93,91.94,0,2.46,0,1.64
 36-46,0,0,0,0.81,0,0,12.09,0,21.75,0.81,0,0,0,0,0,0,26.59,0,0,4.83,126.49,0.81,0,2.42,0,0,0,0,0.81,0,0,55.59,0,1.61,0,0
 48-58,0,0,0,1.15,0,0,8.61,1.72,53.94,0,0,0,0,0.57,0.57,0,70.58,0,1.15,2.3,59.1,0,0,3.44,0,0,0,0,0,0,0,45.9,0,1.15,0,0
 60-70,0,0,0,0,0,0,5.89,0,39.26,0.98,0,0.98,0.98,0,0,0,138.39,0,0,0,25.52,0,0,5.89,0,0,0,0,0,0,0,15.7,1.96,0,0,0
 72-82,0,0,0,2.94,0,0,5.89,0.98,32.39,0,0,1.96,0,0,0,0,174.74,0,0,2.94,31.41,0,0.98,9.82,0,1.96,0,0,0,0,0,6.87,1.96,0.98,0.98,0
 84-94,0,0,0,1.06,0,0,11.68,2.12,25.49,3.19,0,1.06,0,0,0,0,186.92,1.06,1.06,3.19,21.24,0,0,7.43,0,1.06,0,0,0,0,0,10.62,5.31,0,2.12,0
 96-106,0,0,0,1.09,0,1.09,5.46,0,26.23,1.09,0,3.28,0,0,0,0,100.54,0,1.09,1.09,18.58,0,0,7.65,0,0,2.19,0,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0,0,0,0,3.06,0,14.55,1.53,0,0.77,0.77,0,0,0,42.13,0,0,2.3,15.32,0,0,5.36,0,0,0,0,0,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,3.92,0,0,1.96,0,5.88,0,0,0,3.92,0,0,0,31.36,0,1.96,0,11.76,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0
