stage,epidermis,eye,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,1.64,0,0,1.64,0,0.82,0,0,0,0,0
 36-46,0.81,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,2.3,0.57,0,2.3,0,0,0.57,0,0,0,0
 60-70,0,0,0,1.96,0,2.94,0,0.98,5.89,0.98,0.98,7.85,0,0.98,0,0,0,0,0
 72-82,0.98,1.96,0,0,0,4.91,0,0,2.94,0.98,0,0.98,0,0,0.98,0,0,0,0.98
 84-94,1.06,10.62,0,0,0,12.74,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0
 96-106,1.09,4.37,1.09,1.09,1.09,13.11,0,0,5.46,0,0,3.28,1.09,0,2.19,1.09,1.09,1.09,1.09
108-118,0.77,3.83,0,0,0,8.43,0.77,0.77,2.3,0,0,0.77,0,0.77,1.53,0,0,0,0
120,0,0,0,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,0,0,0
