stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,7,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,0,0,1,1,0,3,3,0,0,0
 24-34,0,0,0,0,91.12,0,1.64,0,2.46,0.82,0,0,0,0.82,0,0,0,0,2.46,0,1.64,12.31,0,0,0,0,14.78,0,0.82,0,0,1.64,0,1.64
 36-46,0,0,0,0,91.85,0.81,1.61,0,4.03,0,3.22,0,0,0.81,0,0,0,0,0.81,0,0,16.92,0,0,0,0,14.5,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,68.86,0.57,4.59,0.57,5.16,0.57,2.87,0,0,0,0.57,0,0,0,4.02,0.57,0,14.35,0,0,0.57,0,16.07,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,119.75,0,3.93,0,5.89,0.98,3.93,0.98,0.98,0,0,0,0,0.98,2.94,4.91,2.94,14.72,0,0,0,0.98,19.63,0,0,0,0,3.93,0,0.98
 72-82,0,0,0.98,0,74.61,0,2.94,0,7.85,0,4.91,2.94,0,0,0,0.98,0,0,8.83,3.93,2.94,7.85,0,0,0,0,26.5,0,1.96,0,0,0.98,0,0
 84-94,0,0,0,0,190.1,0,3.19,0,7.43,0,2.12,3.19,1.06,1.06,0,0,2.12,0,6.37,5.31,2.12,7.43,0,0,0,0,36.11,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,98.36,0,1.09,0,4.37,0,1.09,4.37,0,0,0,0,0,0,9.84,1.09,0,6.56,0,1.09,1.09,0,36.06,0,1.09,0,0,1.09,1.09,0
108-118,0,0,0,0,91.15,0,4.6,0,7.66,0.77,1.53,1.53,0.77,0,0,0.77,0.77,0,3.06,0,0,5.36,0,0,0.77,0,9.19,0,0,0,0,0.77,0,1.53
120,0,0,0,0,84.27,0,1.96,0,11.76,0,3.92,0,1.96,1.96,0,0,0,0,1.96,0,1.96,3.92,0,0,0,0,23.52,0,0,0,0,0,0,1.96
