stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,13.14,0,0,57.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,594.78,37.76,0,0,437.43,0,0,0,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,2,6,0,5,0,0,27,0,0,0,0,0,0,0,0,1,520,5,7,6,8,0,0,1,1,5,328,0,0,0,0,0
 24-34,0,0,0.82,0,9.03,0,184.69,0,0.82,56.64,0,0,1.64,0,0.82,0.82,5.75,0,7.39,1535.82,3.28,8.21,20.52,0,0,6.57,1.64,0,3.28,562.29,0,0,4.1,0,0
 36-46,0,0,0,0,1.61,0,269.09,0,0,77.34,0,0,0,0,0,0,5.64,0,2.42,1042.54,0,4.03,7.25,0,0,0,0,0.81,0,323.88,0,0,3.22,0,0
 48-58,0,0,0,0,4.02,0,207.14,0.57,0,114.76,0,0,0,0.57,0.57,0,6.89,0.57,2.87,538.8,1.15,1.15,2.87,0,0,0,0,0.57,0,171.57,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,113.86,0,0,183.54,0,0,0,0.98,1.96,0,15.7,0,0.98,315.07,0.98,0,0.98,0,0,0.98,0,0,0,125.63,0,0,0,0,0
 72-82,0,0,0,0,4.91,0.98,69.7,0,1.96,151.18,0,0,0,0.98,0,0,11.78,0.98,1.96,254.25,0,2.94,2.94,0,0.98,0.98,0,0,0,27.49,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,40.36,0,0,83.9,0,0,0,1.06,0,0,5.31,0,0,131.69,1.06,1.06,2.12,0,0,0,0,0,0,23.36,0,0,0,0,0
 96-106,0,0,0,0,4.37,0,39.34,0,0,89.61,0,0,0,0,0,0,5.46,0,1.09,155.18,0,0,3.28,0,2.19,1.09,0,0,0,12.02,1.09,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0,22.21,0,0,114.13,0.77,0,0,0,0,0,3.06,0,0,174.64,0,0,4.6,0,0,0,0,0,0,4.6,0,0,0.77,0.77,0
120,0,0,0,0,7.84,0,41.16,0,0,125.43,1.96,1.96,0,0,0,0,1.96,0,3.92,141.1,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
