stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0.82,0,0,0,799.51,0,1.64,13.13,0.82,0,0,0.82,0,0,0,5.75,0.82,7.39,12.31,0,1.64,37.76,0,0.82,0.82,0,0,4.1,0,11.49,0,1.64,0,0.82
 36-46,0,0,0,0,555.91,0.81,2.42,30.62,0.81,1.61,0,0,0,0,0,8.06,0,2.42,8.06,0,1.61,33.03,0,2.42,0,0,0,1.61,0,8.06,0,0,0,0
 48-58,0,0,0,0,438.39,0,10.9,57.38,0.57,2.3,0,0,0,0,0,9.75,0,5.16,6.89,0,0.57,33.28,0,0,1.15,0,0,0.57,0,9.18,0,1.72,0,1.72
 60-70,0,0,0,0,394.57,0,6.87,30.43,0,1.96,0,0,0,0,0.98,4.91,0,1.96,6.87,0,0.98,13.74,0.98,0.98,0,0,0,0.98,0,2.94,0,0.98,0,0
 72-82,0,0,0,0,486.9,0,13.74,35.34,0.98,2.94,0.98,0,0,0.98,0,11.78,0,3.93,6.87,0,0,17.67,0,3.93,0,0,0,0,0,0.98,1.96,0,0,0
 84-94,0,0,0,0,881.49,0,9.56,69.03,0,0,2.12,0,1.06,0,1.06,8.5,0,6.37,11.68,0,0,12.74,0,1.06,0,0,0,2.12,0,1.06,3.19,1.06,1.06,0
 96-106,0,0,1.09,0,1025.09,1.09,14.21,78.68,0,2.19,15.3,0,0,0,0,5.46,0,4.37,8.74,0,1.09,19.67,0,9.84,1.09,0,0,3.28,0,1.09,5.46,1.09,0,0
108-118,0,0,0,0,1059.33,0.77,6.13,88.85,0,2.3,28.34,0,0,0.77,0,1.53,0,5.36,7.66,0,0,17.62,0,5.36,2.3,0,0.77,3.83,0,0.77,12.26,0,0,0
120,0,0,0,0,695.72,0,3.92,54.87,0,1.96,3.92,0,0,0,0,0,1.96,1.96,7.84,1.96,0,7.84,0,1.96,0,0,0,1.96,1.96,0,5.88,1.96,0,0
