stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1528.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,42.91,263.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,9.44,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,9,1,0,6,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,19,0,0,0,0,0,0,3,3,1,8,0,0,0,0,0
 24-34,0,0,0,0.82,6.57,0.82,0,4.1,0,0,0,1.64,0,0,0,0,0,0,0,9.85,0,0,1.64,25.45,0,3.28,0,0,0,0,0,0,0,1.64,0,0,4.1,0,0
 36-46,0,0,0,0,3.22,0,0,0.81,1.61,0,0.81,0,0,0,0,0,1.61,0,0,8.86,0,0,1.61,12.89,0.81,1.61,0,0,0,2.42,0,0,0,4.03,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,2.87,0,0,1.15,0,1.15,0,0,0,0.57,2.3,0,0.57,0,0,8.61,0,0,1.15,9.18,0,1.15,0,0,0,2.3,0,0,0,2.3,0,0,1.72,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0.98,4.91,0.98,0,0,0,0,0,0,0,10.8,0.98,1.96,3.93,8.83,0.98,1.96,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0.98,2.94,0,0,5.89,0,0.98,2.94,2.94,0,2.94,3.93,0,2.94,0,0,25.52,1.96,0.98,3.93,16.69,0,2.94,0.98,0,0.98,12.76,0,0,0,0.98,0,0.98,4.91,0.98,0.98
 84-94,0,0,1.06,0,7.43,0,0,2.12,5.31,1.06,1.06,1.06,0,0,6.37,1.06,4.25,0,1.06,12.74,0,0,5.31,7.43,0,2.12,1.06,0,0,15.93,0,0,0,2.12,0,0,12.74,1.06,2.12
 96-106,0,0,0,0,12.02,0,0,3.28,1.09,1.09,1.09,4.37,0,1.09,10.93,0,1.09,0,0,27.32,3.28,3.28,0,13.11,0,5.46,1.09,0,3.28,21.86,0,0,0,3.28,0,0,8.74,2.19,1.09
108-118,0,0,0.77,0.77,9.19,0.77,0.77,3.06,1.53,0.77,0,1.53,0,0.77,9.19,1.53,3.06,2.3,0,22.21,0,1.53,0.77,9.96,1.53,2.3,0.77,0,0,18.38,0,0,0,0.77,3.06,0.77,3.83,0.77,3.83
120,0,0,0,0,9.8,0,0,3.92,0,0,0,7.84,0,0,7.84,3.92,3.92,0,0,17.64,1.96,0,0,3.92,3.92,0,0,0,1.96,23.52,0,0,0,0,1.96,1.96,7.84,1.96,3.92
