stage,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,otic,periderm,presomitic_mesoderm,somites,spinal_cord,taste,visceral_smooth_muscle
 14-21,0,1,1,0,0,2,4,0,0,3,2,4,0,0
 24-34,0,0,0.82,0,0.82,0,7.39,0,1.64,0,0,1.64,0,0
 36-46,0,0,0.81,0,0,0.81,0.81,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,4.02,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,10.8,0,0.98,0,1.96,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,0,3.19,0,0,0,0,0,0,0
 96-106,0,0,4.37,0,0,0,2.19,0,0,0,0,0,1.09,0
108-118,1.53,0,0.77,0.77,0,1.53,1.53,0,0.77,0,0,0,0,0.77
120,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
