stage,blastomeres,endoderm,eye,hatching_gland,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros
  3-4,13.18,0,0,0,0,0,0,13.18,0,0
  5-6,79.69,0,0,0,0,0,0,55.17,0,0
  7-9,2.63,2.63,15.77,0,92,0,23.66,70.98,0,0
 10-12,0,6.29,6.29,6.29,176.23,9.44,31.47,50.35,3.15,6.29
