stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,21.03,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,6.29,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,20,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5,14,0,0,0,1,1,0,1,9,3,0,0,4,0
 24-34,0,0,0,0,5.75,0,0,1.64,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,9.03,1.64,0,0,0,5.75,0,0,0,2.46,1.64,0,0,9.85,0
 36-46,0,0,0,0,0,0,0,4.03,0.81,0,0,0,1.61,0,0,0,0,0.81,0,0,0,11.28,0,0,0,0,4.03,0,0,0,0,1.61,0,0,9.67,0
 48-58,0,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0,1.15,0.57,0,1.72,0,0,0,2.87,0,0,0,0,0.57,0,0,0,0,0.57,0,0,2.3,0
 60-70,0,0,0,0,0.98,0,0,4.91,0.98,0.98,1.96,0,0,0,0.98,0,0.98,1.96,0,0,0,4.91,0.98,0.98,0,0,0,0,0.98,0,0,0,0,0,3.93,0.98
 72-82,0,0,0,0,1.96,0,0,11.78,0.98,0.98,14.72,0,0.98,0,0.98,0,0,8.83,0,0,0,5.89,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0,5.89,0
 84-94,0,0,0,0,3.19,0,0,7.43,2.12,0,38.23,0,1.06,0,2.12,0,0,2.12,0,0,0,11.68,0,0,0,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,1.09,0,8.74,1.09,0,10.93,0,4.37,204.36,0,1.09,0,5.46,0,1.09,2.19,1.09,0,1.09,14.21,0,0,0,0,2.19,0,0,0,0,1.09,1.09,0,3.28,1.09
108-118,0,0,0,0,2.3,0,0.77,6.89,1.53,1.53,321.7,0,0.77,0.77,3.83,0,0,6.89,0,0,1.53,18.38,1.53,0,0,0,3.06,0,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,1.96,1.96,0,3.92,0,7.84,241.05,0,0,0,1.96,0,3.92,5.88,1.96,1.96,0,23.52,1.96,0,0,1.96,0,0,0,0,0,0,0,0,5.88,0
