stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,10,5,0,13,0,0,0,0,1,1,0,0,1,0,0,1,0,11,0,0,7,132,8,0,3,4,0,1,0,12,1,1,21,32,0,0,1,0,0
 24-34,0,1.64,13.95,0,0,35.3,1.64,1.64,0,3.28,2.46,0,0,0,2.46,0,0,1.64,0.82,22.98,0,0,11.49,210.14,4.1,2.46,0.82,0,0,2.46,0,0,0.82,0.82,13.95,53.36,0,0,1.64,0,3.28
 36-46,0,0,0.81,1.61,0,37.87,0,0.81,0.81,14.5,0.81,0,1.61,0,0.81,1.61,0,0.81,0,33.03,0,0,10.47,217.53,0,2.42,0.81,0.81,0,5.64,0.81,0,0.81,2.42,0.81,49.15,0,0,0.81,0,1.61
 48-58,0.57,0,2.87,1.15,0,63.69,1.15,0,1.72,14.92,0,0,0,0.57,1.15,1.72,0,1.72,1.15,40.17,0,1.15,10.33,142.3,0,1.15,2.3,0,0,2.87,0,0,0.57,4.02,0,33.85,0,0,2.3,0,1.15
 60-70,0,0,5.89,0.98,0,76.56,6.87,0.98,0,26.5,2.94,0,0.98,0.98,0.98,0.98,0,1.96,0.98,42.21,0,0.98,10.8,146.25,0.98,0.98,0,0,0.98,3.93,0,0,0.98,1.96,0,23.56,0,0.98,1.96,0,1.96
 72-82,0,0,6.87,16.69,0,79.51,0.98,0.98,2.94,25.52,2.94,0,3.93,0,0.98,0.98,0.98,0.98,0,59.88,0,0.98,12.76,124.67,0.98,3.93,2.94,0,2.94,0.98,0,0,1.96,0,0,12.76,1.96,0.98,4.91,0,0.98
 84-94,0,0,9.56,16.99,3.19,56.29,1.06,2.12,2.12,16.99,4.25,0,1.06,1.06,4.25,1.06,0,2.12,0,33.99,2.12,3.19,9.56,67.97,2.12,2.12,5.31,0,0,23.36,0,0,1.06,1.06,0,9.56,0,1.06,4.25,1.06,2.12
 96-106,1.09,0,8.74,21.86,0,60.11,1.09,0,0,22.95,2.19,0,2.19,2.19,1.09,1.09,0,2.19,0,41.53,2.19,2.19,4.37,57.92,0,2.19,5.46,0,3.28,7.65,0,0,2.19,2.19,0,6.56,0,1.09,5.46,4.37,3.28
108-118,0,0,5.36,17.62,0.77,32.94,0.77,0.77,0.77,19.15,2.3,0,0,3.83,2.3,0.77,1.53,1.53,0.77,35.23,0,0.77,6.13,88.85,0.77,2.3,1.53,0,0.77,10.72,0,0,0.77,2.3,0,1.53,0,0.77,5.36,0,3.06
120,0,0,7.84,23.52,0,43.12,1.96,0,0,21.56,1.96,0,0,7.84,5.88,1.96,0,3.92,1.96,37.24,0,1.96,15.68,80.35,5.88,1.96,1.96,0,0,27.44,0,0,1.96,3.92,0,7.84,0,0,9.8,0,0
