stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0
  5-6,0,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,373.91,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,23.66,0,63.09,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.55,6.29,0,0,15.73,0,12.59,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,109,1,0,0,1,0,1,1,0,0,0,9,0,0,0,0,4,0,0,1,9,26,0,2,0,0,35,3,0,129,21,4,0,0,0,0,1
 24-34,0,0,0,37.76,0,2.46,0,3.28,0.82,0,0,0,0,0,31.19,0,2.46,0,0,3.28,8.21,0,2.46,30.37,32.01,0.82,1.64,0,0,52.53,0,0,44.33,2.46,5.75,0,0,2.46,0,0
 36-46,0,0,0,19.34,0,0.81,0,0,0,0,0,0,0,0.81,10.47,0,0,0,0.81,3.22,6.45,0,0.81,32.23,17.72,0.81,0.81,0,0,45.92,0,0,27.39,0,0.81,0,0,0,0,0
 48-58,0,0,0,7.46,0,2.3,1.15,2.3,0,0.57,0,0,0,0,2.3,0,0,0,0.57,0.57,4.59,0,0.57,13.77,11.48,0,0,0,0,24.67,0,0,12.62,0,3.44,0,0,0.57,0,1.15
 60-70,0,0,0,17.67,0,1.96,0,3.93,0,1.96,1.96,0,0,0,4.91,0,0.98,0,0,3.93,8.83,0.98,1.96,7.85,1.96,0,0.98,0,0,27.48,0,0,14.72,0,1.96,1.96,0,0,0.98,0
 72-82,0,0,0,20.61,0.98,3.93,2.94,2.94,0.98,3.93,2.94,0,0,0,9.82,0.98,0,1.96,0,5.89,11.78,0.98,0,20.61,2.94,0.98,0.98,0,0,20.61,0,0,9.82,0,0,6.87,1.96,0,0,0
 84-94,0,0,0,58.41,0,2.12,2.12,6.37,0,0,6.37,0,0,1.06,7.43,3.19,1.06,0,0,4.25,5.31,0,2.12,15.93,5.31,2.12,1.06,0,0,53.1,0,1.06,26.55,0,1.06,16.99,0,0,4.25,1.06
 96-106,0,0,1.09,72.13,2.19,5.46,3.28,4.37,0,1.09,8.74,0,1.09,3.28,25.14,2.19,2.19,0,0,10.93,8.74,0,1.09,17.49,1.09,4.37,7.65,0,0,56.83,0,3.28,30.6,0,0,18.58,1.09,2.19,14.21,0
108-118,0,0,0,66.64,0,3.83,4.6,6.89,0.77,4.6,9.96,0,0,2.3,19.15,0.77,1.53,0.77,0,7.66,8.43,0.77,1.53,15.32,0.77,0,3.06,0.77,0.77,53.62,0,3.06,46.72,0,1.53,9.96,0,1.53,10.72,0
120,0,0,0,45.08,0,1.96,5.88,1.96,0,1.96,5.88,0,0,1.96,15.68,0,5.88,0,0,0,3.92,1.96,0,13.72,1.96,0,3.92,0,0,43.12,0,0,13.72,0,0,1.96,0,0,15.68,0
