stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros
  3-4,26.36,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0
  7-9,2.63,0,0,0,5.26,0,5.26,0,0,0,0,18.4,2.63,0,10.51,0,0
 10-12,0,0,0,3.15,6.29,0,0,0,0,0,0,28.32,3.15,0,3.15,0,3.15
 14-21,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0.82,0.82,1.64,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0.81,0
 48-58,0,0,0.57,0,1.72,0,0,0,0,0,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0
 96-106,0,0,1.09,0,0,1.09,0,0,0,0,1.09,2.19,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
