stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,527.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,24.52,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,34.17,0,57.83,0,0,0,97.26,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,699.24,31.54,0,0,304.93,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,31.47,0,6.29,0,66.09,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,648.28,28.32,0,0,223.43,0,3.15,3.15,0,18.88,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,7,45,15,0,37,0,0,0,9,4,0,3,0,1,0,0,0,1,52,0,36,401,6,1,6,13,0,3,1,45,5,1,53,161,0,0,5,0,0
 24-34,0,0,0,1.64,13.95,1.64,0,79.62,0,0,2.46,17.24,1.64,0,3.28,0.82,0,1.64,4.1,2.46,0.82,72.24,0,27.09,769.14,4.1,4.1,8.21,0,0,4.1,0,0.82,0,1.64,10.67,200.29,0,0,13.95,0,1.64
 36-46,0,0,0,0,6.45,1.61,0,189.33,0.81,0.81,2.42,21.75,0.81,0,0,0,0,0.81,0.81,0.81,0.81,69.29,0,20.14,926.52,4.03,1.61,4.03,0,0,4.83,0,0,0.81,1.61,0,208.67,0,0,11.28,0,2.42
 48-58,0,0,0,0,6.89,0,0,249.03,0.57,0,3.44,40.74,0.57,0,1.72,0,0.57,3.44,0.57,1.72,2.87,80.33,2.3,16.07,687.99,1.72,1.72,4.59,0,1.15,0,0.57,0,0.57,1.15,0,146.89,0,0.57,9.75,0,2.87
 60-70,0,0,0.98,0,2.94,0,0,372,1.96,0.98,5.89,42.21,0,0,0.98,0,0,1.96,0.98,0,0.98,118.76,4.91,12.76,699.83,0.98,2.94,4.91,0,0.98,0.98,0,0,0,0.98,0,99.13,0,0,5.89,0,3.93
 72-82,0,0,0,0,4.91,7.85,0,316.1,1.96,0,9.82,55.95,0,0,3.93,1.96,0.98,4.91,0,0.98,0,130.56,5.89,16.69,567.4,1.96,0.98,3.93,0,0.98,1.96,0,0,1.96,0,0,57.92,0,2.94,13.74,3.93,5.89
 84-94,0,0,1.06,0,7.43,1.06,0,170.99,0,0,3.19,38.23,2.12,0,0,0,2.12,3.19,1.06,0,2.12,81.78,2.12,8.5,283.56,1.06,3.19,2.12,0,0,2.12,0,0,2.12,0,0,31.86,0,3.19,13.81,6.37,2.12
 96-106,0,0,0,0,5.46,4.37,1.09,145.35,2.19,0,7.65,32.79,2.19,0,3.28,1.09,0,7.65,1.09,1.09,4.37,66.66,1.09,12.02,210.92,2.19,4.37,8.74,0,0,1.09,0,0,0,2.19,0,14.21,2.19,3.28,7.65,4.37,0
108-118,0,0,0.77,0,4.6,2.3,0,114.89,1.53,0.77,2.3,34.47,1.53,0,0.77,0,0,6.13,0.77,0.77,3.06,66.64,2.3,10.72,288.77,2.3,1.53,4.6,0,1.53,1.53,0,0,0.77,0.77,0,13.02,1.53,1.53,3.83,3.06,6.13
120,0,0,0,0,7.84,0,0,113.67,1.96,0,3.92,41.16,0,0,0,0,1.96,3.92,1.96,0,1.96,45.08,1.96,3.92,331.2,0,3.92,11.76,0,1.96,1.96,0,0,0,0,0,9.8,1.96,3.92,15.68,7.84,0
