stage,blastomeres,epidermis,eye,fin_mesenchyme,gut,immune,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,0,7.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,3,0,1,1,1,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,6.57,0,2.46,2.46,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,4.83,0,1.61,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,0.57,0,1.15,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,0.98,1.96,0,1.96,0,0,0.98,0,0,0.98
 84-94,0,0,0,0,0,11.68,0,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,2.19,0,1.09,2.19,2.19,1.09,1.09,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0.77,4.6,0.77,0,0,0,0,0,0.77,0,0,3.06
120,0,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
