stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,3,5,0,0,0
 24-34,0,1.64,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,23.8,0,0.82,0.82,0,0.82,0,0,8.21,0,0.82,0
 36-46,0,0.81,0,0,3.22,0,0.81,0,0,0,0,0,0,0.81,0.81,3.22,0,0,0,36.26,0,0,0,0,3.22,0,0,13.7,0,0.81,0
 48-58,0,0,0,0,9.75,0,2.87,0,1.15,0,0.57,0,0,0.57,0,0.57,0,0,0,36.72,0.57,1.15,0,0,2.87,0,0,6.31,0,0,0
 60-70,0,0.98,0,0,17.67,0,3.93,0,0,0,0,0,0.98,0,0,3.93,0,0,0,52.02,0.98,0.98,0,0,0.98,0,0,5.89,0,0.98,0
 72-82,0,0.98,0,0,10.8,0,1.96,0,0,0.98,0.98,0,0,0,0,2.94,0,0.98,0,53.01,0,0.98,0.98,0,1.96,0,0,1.96,0,0,0
 84-94,0,1.06,1.06,0,7.43,1.06,2.12,0,0,0,0,0,0,0,0,5.31,2.12,0,1.06,22.3,0,0,0,0,3.19,1.06,0,2.12,0,1.06,0
 96-106,0,0,0,0,14.21,1.09,3.28,0,0,0,1.09,0,1.09,0,0,7.65,0,0,0,26.23,0,0,0,0,7.65,0,0,2.19,0,0,0
108-118,0,1.53,0,0.77,5.36,0,3.83,2.3,0,2.3,0.77,0.77,0,0,0,0.77,0,0,0.77,14.55,0,0,0.77,0,4.6,0,0,0.77,0.77,1.53,0.77
120,0,1.96,0,0,9.8,0,3.92,0,0,0,0,0,0,0,0,1.96,0,0,0,15.68,0,0,1.96,0,3.92,0,0,0,0,0,0
