stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,1,3,1,5,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,3.28,0,1.64,24.63,0,6.57,0.82,0,0,9.03,7.39,0,13.95,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,2.42,1.61,0,0,0,0,0,0,0.81,0.81,1.61,0,0.81,0,2.42,58.81,1.61,3.22,1.61,0,0,2.42,10.47,0,17.72,0,0,0,0,0.81
 48-58,0,0,0.57,0,0,0,0,15.49,0.57,0.57,5.16,0,0,0,0,0,0.57,1.15,2.3,2.87,0,0,92.38,0,5.16,4.59,0,0,0.57,4.02,0,16.07,0,0,0.57,0,4.59
 60-70,0,0,0,0,0,0,0,61.84,0.98,0,22.58,0,0,0,0,0,2.94,1.96,2.94,6.87,0,0,246.36,0,4.91,11.78,0,0,0.98,7.85,0,25.52,0,0,0,0,4.91
 72-82,0,0,7.85,1.96,2.94,0.98,0,149.21,0.98,1.96,81.48,8.83,0,0,0,0.98,3.93,3.93,2.94,11.78,0,1.96,325.91,0,6.87,22.58,0,0.98,3.93,1.96,0,33.38,0,0,1.96,1.96,3.93
 84-94,0,0,3.19,7.43,2.12,0,0,137,3.19,3.19,49.92,6.37,1.06,0,0,1.06,9.56,11.68,8.5,6.37,0,3.19,185.86,0,3.19,24.43,0,2.12,10.62,7.43,0,14.87,2.12,1.06,1.06,3.19,4.25
 96-106,0,0,6.56,13.11,6.56,1.09,0,145.35,0,2.19,78.68,15.3,0,0,1.09,1.09,18.58,12.02,5.46,15.3,1.09,0,226.22,0,8.74,27.32,0,2.19,6.56,12.02,0,9.84,1.09,0,2.19,3.28,15.3
108-118,0,0,8.43,11.49,1.53,2.3,0,112.6,6.13,0,77.36,22.21,0.77,0,0,0.77,11.49,10.72,19.15,10.72,0.77,1.53,225.96,0,4.6,26.81,0,0.77,6.13,22.98,0,16.09,2.3,0,0.77,2.3,19.15
120,0,0,7.84,1.96,9.8,1.96,1.96,127.39,1.96,0,68.59,41.16,0,1.96,0,0,17.64,1.96,9.8,13.72,0,3.92,323.36,0,13.72,21.56,0,1.96,5.88,5.88,0,15.68,0,0,0,0,7.84
