stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,606.83,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,10.51,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,184.01,5.26,0,0,55.2,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,6.29,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,1,0,0,0,5,0,0,5,2,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,4.1,0,0.82,0,0,0.82,0,0.82,0,0.82,0,0,0,4.1,0,0,0.82,16.42,0,0,0,0,0,4.93,0,0,5.75,1.64,1.64,4.1,0,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,1.61,4.83,0,0,0,0,0,0,0,0,1.61,0,0,3.22,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,0,4.02,0,2.3,0,1.15,1.15,0,0,0,0,0,0,0,5.16,0,0,1.15,5.74,0,0,0,0,0,1.15,0,0,2.3,0.57,0,4.02,0,0,0,0
 60-70,0,0,0,0,0,0,0,3.93,0.98,0,0.98,3.93,4.91,0,0,0,0,0.98,0,0.98,13.74,0,0,0.98,3.93,0,0,0,0,0,0.98,0,0,7.85,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,5.89,0,0,1.96,13.74,21.6,0,0,0,0,0,0,8.83,28.47,0.98,2.94,2.94,12.76,0.98,0.98,0,0,0.98,0,0,0,21.6,0,0,2.94,0,3.93,0,0
 84-94,0,0,1.06,0,6.37,0,1.06,3.19,0,0,2.12,19.12,20.18,0,0,0,0,0,0,35.05,19.12,1.06,1.06,2.12,11.68,0,1.06,0,0,0,3.19,0,0,49.92,0,0,2.12,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,0,1.09,16.39,0,1.09,6.56,16.39,43.71,0,0,1.09,1.09,1.09,0,55.74,20.76,1.09,1.09,0,17.49,0,2.19,1.09,0,0,8.74,0,0,55.74,0,0,0,0,3.28,0,0
108-118,0,0,0,0,1.53,0,1.53,13.79,0,0,3.83,13.79,60.51,0,0,0,0,0,0.77,155.49,25.28,0,0,0.77,24.51,0,0,0,0,0,6.13,0,0,70.47,0,0,0.77,0,0.77,0.77,0.77
120,0,0,0,0,5.88,0,1.96,3.92,0,1.96,0,27.44,78.39,0,0,1.96,0,0,1.96,135.23,9.8,0,1.96,5.88,21.56,3.92,0,0,0,0,9.8,0,0,54.87,1.96,0,1.96,0,1.96,0,0
