stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,2.46,0,0,99.32,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,72.51,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0,0.57,0,1.72,0,0,26.97,1.15,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0.98,0,0,22.58,0,0,0
 72-82,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,2.94,0,0.98,19.63,0,0,0
 84-94,0,1.06,2.12,0,0,0,2.12,0,3.19,1.06,1.06,0,0,0,0,0,0,75.4,0,0,0
 96-106,0,0,8.74,0,1.09,0,3.28,0,1.09,0,0,1.09,0,0,0,0,0,55.74,0,2.19,0
108-118,0,0,3.83,0.77,0,0,2.3,0.77,0.77,0,0.77,0.77,0,0,0,0,0,45.96,0,0.77,0
120,0,0,13.72,0,0,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,48.99,0,1.96,0
