stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,14,160,72,0,80,0,2,0,46,13,5,3,0,1,1,1,0,2,109,0,0,72,1206,55,12,16,53,0,1,1,163,21,5,144,574,0,0,14,0,1
 24-34,0.82,1.64,34.48,8.21,0,184.69,0,6.57,3.28,43.51,2.46,0,4.93,1.64,2.46,0.82,6.57,2.46,6.57,166.63,0,0,68.95,2020.95,25.45,33.66,21.34,0,0,4.1,0,1.64,8.21,0.82,29.55,581.99,0,0,41.04,0,3.28
 36-46,0,0,16.11,4.03,0,385.11,0,2.42,8.86,62.84,0.81,0,4.83,0.81,0.81,0.81,0.81,0,4.83,210.28,0,4.03,46.73,2676.43,12.09,29,7.25,0,0,2.42,0.81,0,7.25,1.61,0.81,677.57,0,0.81,22.56,0.81,4.03
 48-58,1.15,0,21.8,2.87,0,747.09,2.87,4.59,10.33,123.94,0.57,0,9.18,1.72,1.15,1.72,3.44,1.15,5.16,249.61,1.72,8.61,48.77,2553.43,7.46,21.23,5.74,0.57,1.15,4.02,0,0,5.74,3.44,0,541.1,0,1.15,39.02,0,4.59
 60-70,1.96,0,19.63,5.89,0,996.24,1.96,5.89,9.82,116.8,1.96,0,3.93,3.93,0.98,0.98,1.96,0,2.94,297.4,1.96,7.85,28.46,2285.96,10.8,16.69,2.94,0,1.96,9.82,0,0,0,1.96,0,344.51,0,5.89,29.45,2.94,6.87
 72-82,3.93,0.98,29.45,38.28,0,1053.32,1.96,10.8,15.71,169.83,5.89,0,6.87,5.89,2.94,3.93,9.82,1.96,2.94,474.14,0,21.6,41.23,2276.47,4.91,35.34,19.63,0,3.93,2.94,0,0,4.91,0,0,198.3,1.96,11.78,66.75,12.76,6.87
 84-94,6.37,0,42.48,37.17,1.06,675.46,5.31,3.19,9.56,123.2,5.31,1.06,7.43,18.05,5.31,8.5,8.5,2.12,10.62,303.74,1.06,13.81,27.61,1105.58,6.37,25.49,29.74,0,2.12,10.62,0,0,9.56,3.19,0,129.57,3.19,12.74,54.16,11.68,5.31
 96-106,5.46,0,50.27,29.51,1.09,520.2,2.19,6.56,13.11,127.86,13.11,1.09,6.56,21.86,2.19,3.28,10.93,6.56,1.09,274.3,0,10.93,19.67,885.21,5.46,38.25,25.14,0,5.46,8.74,0,0,3.28,3.28,0,60.11,4.37,8.74,57.92,13.11,7.65
108-118,3.83,0.77,38.3,26.04,8.43,389.11,3.83,16.85,14.55,108.77,6.13,0,1.53,15.32,4.6,11.49,7.66,0.77,5.36,222.9,3.83,9.96,29.87,1046.31,12.26,34.47,20.68,0.77,4.6,2.3,0,0,6.89,6.13,0,29.87,3.06,6.89,49.79,3.83,5.36
120,5.88,0,45.08,35.28,1.96,321.4,0,9.8,11.76,90.15,5.88,0,1.96,25.48,3.92,7.84,3.92,1.96,0,186.18,1.96,13.72,27.44,926.98,15.68,29.4,25.48,0,0,11.76,0,1.96,3.92,1.96,0,39.2,13.72,3.92,39.2,7.84,1.96
