stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0,5.16,0,0,5.74,0,0,0,0,0.57,0.57,0,4.59,0,0,0,0,2.3,0,0
 60-70,0,0,10.8,0,0,73.61,0,0,4.91,0,0,0.98,0,1.96,0,0,0,0.98,0.98,0,0
 72-82,0,0.98,15.71,0,0,206.15,0,0,4.91,0,0.98,0,0.98,6.87,0.98,0,0.98,0,0.98,0,0.98
 84-94,0,2.12,20.18,0,0,163.55,0,0,5.31,0,0,2.12,0,8.5,0,0,0,0,2.12,0,0
 96-106,0,1.09,33.88,1.09,1.09,233.87,1.09,1.09,5.46,0,1.09,2.19,0,15.3,0,0,0,0,0,0,0
108-118,0,0,12.26,0,0,193.02,0,0,12.26,0.77,3.83,1.53,0,7.66,0,0,0,0.77,0.77,0.77,0
120,0,1.96,11.76,0,0,166.58,0,0,7.84,0,0,0,0,9.8,0,0,0,0,0,0,0
