stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,44.06,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,12.59,0,6.29,0,56.65,0,0,0,0,0,0,0,0
 14-21,1,0,0,154,111,483,0,5,0,4,0,0,38,8,5,37,3,0,0,17,0,47,3,0,6,33,3,0,5,0,0,18,1,10,0,3,9,0,0,4,0,0
 24-34,0,0,0.82,94.4,55.82,27.91,0,0.82,0,34.48,1.64,0.82,44.33,2.46,4.1,84.55,3.28,0,0,44.33,0.82,23.8,5.75,0,12.31,51.71,1.64,4.93,0,0,0.82,57.46,0.82,30.37,0,1.64,9.85,0,0,30.37,0,0.82
 36-46,0,0,0,10.47,32.23,0.81,0,2.42,0,39.48,0.81,0,37.87,0.81,3.22,109.57,3.22,0,0,32.23,0,20.14,4.03,3.22,4.83,30.62,1.61,4.03,0,0,0,107.15,0,31.42,0,0,8.86,0,0,12.09,0,0
 48-58,0,0,0,8.61,38.44,1.15,0,18.36,0,67.14,1.15,3.44,51.64,7.46,5.74,121.65,0.57,0,0,33.28,0.57,61.97,4.59,5.74,9.18,49.92,1.72,0.57,0,0,2.3,134.84,0,26.97,0,0,12.05,0,0.57,21.8,0,0.57
 60-70,0.98,0,2.94,0,51.04,0,2.94,35.33,0,69.69,3.93,1.96,84.41,4.91,7.85,132.51,3.93,0,0.98,43.19,0,116.8,3.93,11.78,12.76,68.71,0,1.96,0,0,6.87,208.08,0.98,26.5,0.98,0,8.83,1.96,9.82,18.65,0.98,0
 72-82,0,0,28.47,0,125.65,3.93,35.34,75.59,1.96,105.04,3.93,11.78,256.21,3.93,10.8,206.15,20.61,0,0,79.51,0,268.98,15.71,31.41,11.78,161.97,0,1.96,0.98,0,9.82,353.4,0,59.88,0,0,9.82,5.89,13.74,36.32,12.76,1.96
 84-94,0,0,19.12,1.06,265.51,7.43,80.71,106.2,0,191.17,5.31,9.56,455.61,1.06,6.37,281.44,38.23,1.06,2.12,203.91,0,199.66,16.99,29.74,16.99,88.15,0,3.19,1.06,0,4.25,998.32,0,142.31,1.06,0,3.19,11.68,7.43,35.05,8.5,3.19
 96-106,0,0,28.41,0,359.55,10.93,64.48,134.42,0,230.59,3.28,19.67,558.44,0,19.67,365.01,39.34,0,1.09,199.99,0,292.88,37.16,26.23,16.39,181.41,3.28,4.37,1.09,0,15.3,1111.43,0,142.07,2.19,0,1.09,13.11,7.65,66.66,14.21,1.09
108-118,0,0,13.02,1.53,349.28,9.96,99.58,154.72,0,314.04,4.6,6.89,503.24,0,13.79,271.92,42.13,0,3.06,268.09,1.53,242.81,49.02,20.68,13.02,181.53,0,3.83,2.3,0,13.79,1074.65,0,139.41,0,0,6.13,12.26,5.36,50.55,12.26,0.77
120,0,0,9.8,0,186.18,9.8,35.28,64.67,0,195.98,1.96,7.84,258.69,0,13.72,315.53,27.44,0,5.88,113.67,0,186.18,17.64,21.56,11.76,131.31,0,1.96,0,0,7.84,529.14,0,56.83,0,0,9.8,3.92,7.84,50.95,5.88,0
