stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,5,3,0,0,2,0,0,0,3,0,0,0,0,0,0,0,19,1,1,0,0,0,0,1,5,0,1,8,0,0,1,0
 24-34,0,0,0,0.82,4.1,0.82,6.57,0,0,2.46,1.64,0,0.82,16.42,0,1.64,0,1.64,0.82,0,0,41.86,0,3.28,0,0,0,0.82,0,10.67,1.64,0,9.85,0,0,4.1,0
 36-46,0,0,0,0,1.61,0,24.17,0.81,0,6.45,0,1.61,1.61,3.22,1.61,1.61,0.81,4.03,0.81,0,0.81,93.46,0,16.92,3.22,0,0,4.03,0,8.06,8.06,0,19.34,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,21.8,0,0,2.3,0,0,4.02,1.15,0,0.57,1.15,2.3,0,0,0.57,34.43,0,6.31,0.57,0,0,0.57,0,2.87,4.59,0,6.89,0,0,0.57,0
 60-70,0,0,0,0,0,0,38.28,0.98,0,7.85,1.96,0.98,4.91,0,0,1.96,0.98,6.87,0,0,0.98,45.15,0,9.82,0.98,0,1.96,0,0,1.96,0,0,2.94,0,0,0.98,0
 72-82,0,0,0,0,0,0,35.34,0.98,0,1.96,2.94,0,1.96,0.98,0,0.98,0.98,3.93,0.98,0,0.98,19.63,0,4.91,1.96,0,0,0,0,4.91,0,0,4.91,0,0,3.93,0
 84-94,0,0,1.06,0,1.06,0,18.05,0,0,4.25,7.43,0,2.12,5.31,0,1.06,0,1.06,0,1.06,1.06,8.5,0,4.25,3.19,0,0,0,0,1.06,1.06,0,0,1.06,0,4.25,2.12
 96-106,0,0,1.09,1.09,4.37,1.09,20.76,0,0,2.19,6.56,0,5.46,3.28,0,0,3.28,0,0,1.09,0,13.11,0,5.46,6.56,0,0,1.09,0,2.19,0,0,1.09,0,1.09,2.19,0
108-118,0,0,0,0,3.06,3.06,13.02,0,0,4.6,8.43,0.77,4.6,2.3,0,0.77,4.6,3.06,0,0,0.77,10.72,0,3.06,2.3,0,0.77,1.53,0,3.06,1.53,0,0.77,0.77,0,0.77,0
120,0,0,1.96,0,5.88,3.92,1.96,1.96,1.96,3.92,5.88,0,15.68,0,0,0,0,3.92,0,0,0,11.76,0,9.8,3.92,0,0,1.96,0,5.88,0,0,1.96,1.96,0,3.92,0
