stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,404.56,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,10.51,0,0,0,31.54,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,241.84,0,0,0,99.89,7.89,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,6.29,0,0,0,31.47,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,377.64,9.44,0,0,141.61,6.29,9.44,3.15,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,11,89,18,0,34,0,0,0,12,3,0,1,0,2,0,1,0,0,55,1,0,62,404,9,6,3,15,44,1,43,4,0,70,157,0,0,4,0,0
 24-34,0,0.82,0.82,48.43,3.28,0,117.38,0,0,0,13.13,0.82,0,0.82,3.28,0.82,2.46,2.46,0.82,0,147.75,0,0,66.49,832.35,13.95,9.85,13.13,0,99.32,0,0.82,4.1,0,7.39,187.16,0,0,22.16,0,0.82
 36-46,0,0,0.81,30.62,0.81,0,285.21,0,0.81,0,27.39,0.81,0,3.22,6.45,0,2.42,0.81,0.81,0,139.38,0.81,5.64,44.31,709.79,8.06,4.83,4.83,0,42.7,0.81,0,2.42,0.81,0,191.75,0,0,16.11,0,4.83
 48-58,0,0,0,35.58,1.72,0,406.25,0,1.72,0.57,21.8,0.57,0,5.16,4.02,0.57,2.3,2.3,0.57,0.57,178.45,0.57,8.61,43.61,381.01,4.59,0.57,5.74,0,20.08,0,0,0.57,0,0,61.97,0,0.57,14.92,0,1.72
 60-70,0,0,0,47.11,0.98,0,381.81,0,0.98,0,31.41,0.98,0,1.96,2.94,0,1.96,3.93,2.94,0,153.12,0.98,14.72,20.61,240.47,2.94,2.94,7.85,0,14.72,0,0,0,0,0,17.67,0,0,14.72,0,0.98
 72-82,0,0,0,39.27,2.94,0,144.3,0.98,0,0,36.32,10.8,0,3.93,2.94,1.96,1.96,0,0.98,0,145.29,0.98,7.85,25.52,145.29,0.98,1.96,3.93,0,11.78,0,0,0.98,0,0,7.85,0.98,0,17.67,0,0.98
 84-94,0,0,2.12,31.86,2.12,1.06,118.95,0,0,1.06,33.99,9.56,0,0,5.31,7.43,6.37,0,1.06,0,123.2,0,13.81,18.05,134.88,10.62,5.31,1.06,0,23.36,0,0,8.5,0,0,1.06,1.06,0,24.43,0,0
 96-106,0,0,0,40.44,5.46,2.19,79.78,0,0,1.09,30.6,12.02,0,5.46,10.93,1.09,0,2.19,1.09,0,73.22,0,5.46,9.84,108.19,4.37,3.28,6.56,0,13.11,0,0,3.28,0,0,2.19,0,0,22.95,1.09,1.09
108-118,0,0,0.77,33.7,4.6,0.77,74.3,0.77,0.77,0,28.34,7.66,0,0,6.89,2.3,3.06,2.3,0.77,0.77,55.92,0,8.43,22.21,117.19,2.3,3.06,6.13,0,15.32,0,0,5.36,0,0,1.53,3.83,0,11.49,0,0
120,0,0,0,21.56,9.8,0,97.99,0,1.96,0,15.68,0,0,0,7.84,1.96,1.96,0,0,0,58.79,0,3.92,7.84,135.23,3.92,0,5.88,0,15.68,0,0,1.96,0,0,3.92,1.96,0,19.6,0,0
