stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,34.17,0,0,10.51,0,2.63,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,15.73,0,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0
 24-34,0,0,0.82,0,1.64,0.82,0.82,0.82,0,0,0,0,4.1,0,0,0.82,19.7,0,0.82,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,5.64,0,3.22,0,0,0.81,0,0,1.61,0,0,0.81,25.78,0.81,0,0,0.81,0,0,0,7.25,0.81,0.81
 48-58,0,0,0,0,11.48,0,2.3,0,0,0,0,0,1.72,0,0.57,0.57,13.77,0,0.57,0,0,0,0,0,4.02,0,0
 60-70,0,0,0,0,19.63,0.98,0,0,0,0,0,0,3.93,0,0,0,15.7,0,0,0,0,0,0,1.96,4.91,0,0
 72-82,0,0,0,4.91,3.93,0.98,2.94,0.98,0,0,0,0,4.91,0,0,0.98,11.78,0,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,1.06,2.12,9.56,0,4.25,0,0,0,2.12,0,5.31,1.06,0,0,8.5,0,2.12,0,0,0,0,0,1.06,0,0
 96-106,0,0,1.09,1.09,3.28,1.09,0,0,0,0,0,0,8.74,0,1.09,1.09,2.19,0,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,1.53,1.53,0,1.53,0,0,0,0,0.77,5.36,0,0,3.06,3.83,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,3.92,3.92,1.96,3.92,0,0,0,3.92,0,3.92,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0
