stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,6,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,5,32,0,0,0,0,0,4,0,7,0,0,6,10,0,2,0,0
 24-34,0,0,0,1.64,13.13,0.82,0,19.7,0,0.82,0,0.82,0,1.64,0,1.64,0,0,0,0,9.85,0,0,9.85,46.79,0.82,0,0.82,0,0,43.51,0,0,1.64,1.64,1.64,6.57,0,4.1,0,1.64
 36-46,0,0,0,0,6.45,0,0,10.47,1.61,0.81,0.81,1.61,0,0,0.81,0,0,0,0,1.61,12.89,0,0,2.42,16.92,1.61,0.81,0.81,0,0,16.11,0.81,0,0.81,2.42,0,5.64,0,3.22,0,0
 48-58,0,0,0,0,9.18,0,0,13.77,0,0.57,1.15,3.44,1.15,1.72,0,0.57,0,0,2.3,2.3,19.51,0,1.15,5.74,16.64,1.72,2.3,1.72,0,0,12.05,0,0,0,0.57,0,4.02,0,1.72,0,1.15
 60-70,0,0,0,0,4.91,0,0,27.48,2.94,2.94,0.98,5.89,1.96,0,0,0.98,1.96,0.98,0,0,18.65,0,0,1.96,18.65,0,0,0,0,0,15.7,0,0,0.98,2.94,0,0.98,0,1.96,0.98,0
 72-82,0,0,0.98,0,11.78,7.85,0,121.73,0.98,3.93,2.94,33.38,7.85,1.96,0.98,3.93,1.96,0.98,7.85,0.98,27.49,0,1.96,3.93,19.63,0,0,3.93,0,0.98,17.67,0,0,3.93,0,0,6.87,0,4.91,0.98,0.98
 84-94,1.06,0,0,0,24.43,2.12,0,99.83,0,3.19,1.06,22.3,8.5,1.06,0,6.37,0,0,10.62,0,21.24,4.25,3.19,4.25,24.43,1.06,0,6.37,0,0,28.68,0,0,3.19,2.12,0,2.12,2.12,4.25,1.06,3.19
 96-106,0,0,1.09,0,13.11,6.56,2.19,100.54,2.19,2.19,1.09,15.3,8.74,0,4.37,7.65,1.09,0,8.74,1.09,28.41,0,0,3.28,18.58,3.28,1.09,4.37,0,1.09,16.39,0,0,0,3.28,0,2.19,2.19,5.46,3.28,1.09
108-118,0,0,0,0,23.74,3.06,9.96,84.26,3.06,3.83,1.53,18.38,14.55,0,6.89,6.13,3.06,0.77,84.26,0.77,33.7,0,1.53,5.36,39.83,0.77,0,3.06,0,0,13.79,0,0,1.53,6.89,0,1.53,2.3,2.3,2.3,2.3
120,0,0,0,0,27.44,0,5.88,86.23,0,1.96,5.88,21.56,9.8,0,1.96,5.88,0,0,0,1.96,35.28,1.96,1.96,0,37.24,0,0,3.92,0,3.92,19.6,0,0,5.88,0,0,0,0,1.96,1.96,0
