stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,97.26,0,0,0,15.77,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,119.58,6.29,0,0,56.65,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,3,1,2,0,0,0,0,0,0,0,4,0,1,12,1,0,1,0,0,2,1,1,3,12,0,0
 24-34,0,0,0,0,0.82,0,4.93,0,0.82,0,0.82,0,0,0,0.82,0,0.82,28.73,0,0.82,0,0,0,0,0,0,0.82,9.03,0,0
 36-46,0,0,0.81,0,0.81,0,4.83,0.81,0,0,0,0,0,0,2.42,0,0,19.34,0,0,0,0,0,0,0,0,0,4.83,0,1.61
 48-58,0,0,0,0,0,0,6.89,0,0,1.15,0,0,0.57,0,2.87,0,0,12.05,0,0.57,0,0,0,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0.98,10.8,0,0,0,2.94,0,0,0,0.98,0,0,11.78,0,0,0,0,0.98,0,0,0,0,0.98,0,1.96
 72-82,0,0,0,0,0,0,8.83,0,0,0,0,0,0,0,4.91,0.98,0,19.63,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,0,1.06,0,0,1.06,0,0,1.06,3.19,0,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,3.28,0,0,1.09,1.09,0,0,0,3.28,0,1.09,4.37,0,0,0,0,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,0.77,2.3,0,0,0,0.77,0,0,0,0.77,0,0,3.06,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,5.88,0,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,1.96,1.96
