stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,26.36,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,57.83,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0,50.35,3.15,0,0,15.73,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,4,0,1,25,0,0,1,1,0,1,2,0,4,4,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,15.6,0,0,0,0,0.82,0,0,0,0.82,4.1,0,0,0
 36-46,0,0,0,0,1.61,0,6.45,0,0,0.81,0,0,0,0.81,0,0,0,4.03,0,1.61,33.84,0,0,0,0,0.81,0,0,0,0,9.67,0,2.42,0
 48-58,0,0,0,0,0,0,7.46,0,0,1.72,0,0,0,0,0,0,0,3.44,0,2.3,24.67,0.57,0,0,0,0,0,0,0,0,2.3,0,0.57,0
 60-70,0,0,0,0,0,0,15.7,0,0,2.94,0,0,0,0,0,0,0,3.93,0.98,0.98,27.48,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,3.93,0.98,11.78,0,0,1.96,0,0,0,0,0,0,0,4.91,0.98,0,19.63,0,0,0,0,0.98,0.98,0,0,0,6.87,0,0,0
 84-94,0,0,0,0,1.06,0,6.37,1.06,0,4.25,2.12,0,0,0,0,0,0,6.37,0,0,19.12,0,0,0,0,1.06,0,0,0,0,3.19,1.06,0,0
 96-106,0,0,1.09,0,0,0,8.74,0,0,4.37,0,0,1.09,0,1.09,1.09,0,1.09,0,1.09,33.88,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,1.53,0,15.32,0,0.77,11.49,0.77,0,0.77,0,0,0,0,6.13,0,1.53,68.17,0.77,0,0,0,0,0,0,0,0,3.06,0,0.77,0.77
120,0,0,0,0,3.92,0,5.88,0,0,11.76,0,0,3.92,0,0,0,1.96,3.92,0,0,135.23,1.96,3.92,0,0,1.96,0,0,0,0,1.96,3.92,0,0
