stage,axial,blastomeres,eye,glial,hatching_gland,ionocyte,iridophores,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,vasculature
  3-4,303.09,5679.69,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0
  5-6,85.81,1495.63,0,0,12.26,0,0,0,0,42.91,0,6.13,12.26,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,23.66,0,7.89,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,5,0
 24-34,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,7.39,0.82
 36-46,0,0,1.61,1.61,0,0,0,0,0,9.67,0,0,0,0,0,12.89,0
 48-58,0,0,3.44,0,0,0,0,0,0,2.3,0,0,0,0,0,6.31,0
 60-70,0,0,12.76,0.98,0,0,2.94,0.98,0,10.8,0,0,0,0,0,5.89,0
 72-82,0,0,4.91,0,0,0,4.91,0.98,0,5.89,0,0,0,0,0,0.98,0
 84-94,0,0,8.5,0,0,1.06,4.25,0,0,7.43,0,0,0,0,0,1.06,0
 96-106,0,0,7.65,3.28,0,0,2.19,1.09,0,4.37,0,0,0,0,0,1.09,0
108-118,0,0,18.38,2.3,0,0,6.89,0,0.77,1.53,0.77,0,0,0,0,1.53,0
120,0,0,0,1.96,0,0,3.92,1.96,0,3.92,0,0,0,0,0,1.96,0
