stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,7,3,1,0,0,2,0,0,0,2,0,0,0,0,6,0,3,56,1,0,2,2,0,8,0,0,8,26,0,0
 24-34,0,0,0.82,0.82,8.21,0,0,2.46,0,0,0,0,0,0,0,0,9.03,0,3.28,61.56,0,1.64,0.82,0,0.82,0,0,0,2.46,10.67,0,0.82
 36-46,0,0,0,0,15.31,0,0,2.42,0,0,0,0,0,0.81,0,0,12.09,0.81,3.22,87.82,0,0.81,0.81,0,0.81,0,0,0.81,0,24.17,0,0
 48-58,0,0,1.72,0,20.66,0,0,7.46,0,0,0,0,0,0,0,0.57,13.77,0.57,1.15,56.23,0,1.15,0,0,0,0,0,0,0,13.2,1.15,0.57
 60-70,0,0,0,0,14.72,0,0,2.94,0,0.98,0,0,0,0.98,0.98,0,8.83,0,0.98,50.06,0,0,0.98,0,1.96,0,0,0,0,7.85,0.98,0
 72-82,0,0,1.96,0,30.43,0.98,0,6.87,0,0,0,0,0.98,0,0,0,14.72,0.98,2.94,47.12,0,0,0,0,0.98,0,0,0,0,2.94,2.94,0
 84-94,0,0,0,0,10.62,0,0,0,1.06,0,0,0,1.06,0,0,0,11.68,0,1.06,19.12,1.06,0,0,0,5.31,0,0,0,0,3.19,0,0
 96-106,0,0,4.37,0,15.3,0,0,6.56,1.09,1.09,2.19,0,0,1.09,0,0,15.3,0,1.09,19.67,0,2.19,1.09,0,8.74,0,1.09,0,0,3.28,2.19,0
108-118,0,0,5.36,0,12.26,0,0.77,8.43,0,0,0,1.53,0,0.77,0.77,0,9.96,0.77,1.53,29.11,0,0,1.53,0,1.53,0,0,0,0,0,0.77,1.53
120,0,0,1.96,0,7.84,0,0,7.84,0,0,0,0,0,0,0,0,5.88,1.96,1.96,27.44,0,0,1.96,0,0,0,0,0,0,0,0,0
