stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0
 24-34,0.82,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0.82,6.57,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,5.64,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,19.51,0,0,0,0.57,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,87.36,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,4.91,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,156.08,0.98,0,0.98,1.96,0.98,0,0,0,0,4.91,0,0,0,3.93,0,0,0,0,0,0.98
 84-94,0,0,1.06,2.12,0,202.85,0,0,0,0,0,0,0,0,0,3.19,0,0,0,5.31,0,1.06,0,0,0,0
 96-106,0,0,0,4.37,1.09,181.41,1.09,0,0,1.09,0,1.09,0,1.09,0,2.19,1.09,0,0,4.37,0,2.19,0,0,1.09,0
108-118,0,0,0,1.53,0.77,160.09,0,0,0,0.77,0,0,0,0,0.77,7.66,0.77,0,0.77,8.43,0,0.77,0,0,0,0
120,0,0,0,1.96,0,217.54,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,1.96,5.88,0,0,0,1.96,0,0
