stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,32.83,0,0,0,0,0,7.39,0,0,0
 36-46,0,0,0,2.42,0,4.03,0,0,0,1.61,0,0,0.81,180.47,0.81,0,1.61,0,0,25.78,0,0.81,0
 48-58,0,0,0,8.61,0,14.35,0,0,0,6.31,0,0.57,0,152.63,0,0.57,0,0,0,29.84,0,0,0.57
 60-70,0,0,0,9.82,0,3.93,0.98,0.98,0,7.85,0,0.98,0,157.04,0,0,0.98,0,0,24.54,0,0,0
 72-82,0,0,0,15.71,0,4.91,0,0,0,9.82,0,0,0,128.6,0,0,0.98,0,0,19.63,0,0,0
 84-94,0,0,0,11.68,0,5.31,0,0,0,6.37,0,0,0,47.79,0,0,0,0,1.06,7.43,1.06,1.06,0
 96-106,0,2.19,0,8.74,1.09,0,1.09,1.09,1.09,9.84,1.09,0,0,56.83,0,0,0,0,0,8.74,0,0,0
108-118,0,0,0.77,3.83,0,3.83,0.77,0,0,4.6,0,0,1.53,57.45,0,0,0,0,0,1.53,0,0,0
120,0,0,0,5.88,0,1.96,0,0,0,3.92,0,0,0,62.71,0,1.96,0,0,0,3.92,0,3.92,0
