stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,5.26,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,6.57,0,0,0,0,3.28,0.82,0
 36-46,0,0,0,0.81,1.61,0,0,0,0,0,0,0.81,0.81,8.06,0,0,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0.57,0.57,0,0,0,0,0.57,0.57,6.31,0,0,0,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,3.93,0,0
 72-82,0,0,0,0,1.96,0,0,1.96,0,0,0,2.94,0.98,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,1.06,2.12,0,0,1.06,0,0,6.37,0,0,0,1.06,0,0,1.06
 96-106,0,0,1.09,0,0,0,2.19,2.19,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0.77,12.26,0,0.77,0,1.53,0.77,2.3,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,15.68,0,0,0,0,0,3.92,0,0,0,0,0,0,0
