stage,blastomeres,epidermis,eye,glial,immune,ionocyte,mesenchyme,neural,presomitic_mesoderm,slow_muscle,spinal_cord,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,4.83,0,0,0,0
 48-58,0,0,0,0,1.72,0,0,0.57,0,0.57,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,7.85,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,6.37,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,4.37,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,9.19,0,0.77,0,0,0,0,0
120,0,0,0,0,7.84,1.96,0,1.96,0,0,0,0
