stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,4,0,0,0,0,0,1,2,0,0,0,1,1,0,1,10,4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,4.93,0,0,0,0,0.82,0,0,0,0.82,7.39,0,2.46,22.98,0,0.82,0.82,0,0,0.82,0,0,0,0,8.21,0,0,0,0,0
 36-46,0,0,0,0,0,0,3.22,7.25,0,0,0,0,0,0,0,0,2.42,0,1.61,50.76,0.81,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,5.74,4.02,0.57,1.15,0,0,0,0,0,0,6.89,0,0.57,58.53,0,0,0,0,0.57,0,0,0,0.57,0,6.31,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,25.52,5.89,0,2.94,1.96,0,0.98,0,0,0,6.87,0,1.96,113.86,0,0,0,0,0,0,0,0,0,0,10.8,0,1.96,0,1.96,0
 72-82,0,0.98,0,1.96,0.98,0,48.1,0.98,0.98,2.94,0,0,0,0.98,0,0,15.71,1.96,1.96,107.98,2.94,0.98,0.98,0,0,1.96,0,0,0.98,0,9.82,0,0,1.96,11.78,0
 84-94,0,0,0,0,0,0,23.36,2.12,1.06,5.31,1.06,0,0,0,0,1.06,8.5,0,1.06,63.72,2.12,1.06,0,0,0,2.12,0,0,0,0,3.19,0,2.12,0,5.31,0
 96-106,0,0,0,1.09,1.09,0,21.86,1.09,0,5.46,0,0,0,1.09,0,4.37,7.65,3.28,1.09,39.34,3.28,1.09,5.46,0,0,2.19,0,1.09,0,0,2.19,0,1.09,1.09,9.84,0
108-118,0,0,0.77,2.3,0,7.66,10.72,5.36,0,6.13,0.77,0,0,0.77,0.77,7.66,8.43,1.53,1.53,59.75,3.83,0,3.06,0,0,0,0,0,1.53,0,0.77,0.77,0.77,0,7.66,0
120,0,0,0,1.96,7.84,1.96,9.8,3.92,1.96,1.96,0,0,0,1.96,0,3.92,0,3.92,3.92,54.87,3.92,0,0,0,0,0,0,0,0,0,7.84,0,0,0,3.92,0
