stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,500.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,447.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,15.73,9.44,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0,2,0,2,5,9,0,1,0,0,1,0,2,0,40,70,0,0,1,0,0
 24-34,0,0,0,0.82,0.82,4.1,65.67,0.82,0,0,0,0,1.64,0,0.82,0,0,2.46,1.64,4.93,0,14.78,30.37,11.49,0,2.46,0,0,2.46,0,0.82,0,54.18,59.1,9.85,0,0.82,0,0.82
 36-46,0,0,0,0,0,4.03,73.32,0,0,0,0,0,0.81,0,0.81,0,0,0,2.42,2.42,0,7.25,17.72,7.25,0,1.61,0,0,4.03,0,0,0,37.06,3.22,4.83,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,10.9,83.2,0.57,0,3.44,0,0,1.15,0,0,0,0.57,0,0.57,8.61,0,15.49,40.74,3.44,0,1.72,0,0.57,1.15,0,0,0,18.36,0,6.89,0,0,0,1.72
 60-70,0,0,0,1.96,0,7.85,85.39,0,0,1.96,0.98,0,0.98,0,0.98,3.93,0,0,0,24.54,0,20.61,14.72,2.94,0,1.96,0.98,0,0.98,0,0,0,18.65,0,3.93,0.98,0,0,0.98
 72-82,0,0,0,4.91,0,12.76,62.83,0,2.94,3.93,0,0,0,0,0,2.94,1.96,0.98,0,88.35,0.98,17.67,17.67,0,0,7.85,0,0,0.98,0,0,0,13.74,0,2.94,0,0,0,0.98
 84-94,0,0,0,0,1.06,8.5,58.41,0,0,3.19,0,0,0,0,1.06,4.25,0,0,0,49.92,0,12.74,10.62,1.06,0,7.43,0,0,0,0,0,0,14.87,0,1.06,0,3.19,0,0
 96-106,0,0,0,1.09,1.09,19.67,88.52,0,0,5.46,0,0,4.37,1.09,0,0,3.28,1.09,0,40.44,0,15.3,18.58,4.37,1.09,7.65,0,0,3.28,0,0,0,8.74,0,0,1.09,0,1.09,0
108-118,0,0,0,1.53,0,11.49,70.47,0,0,3.06,0.77,0,0.77,0,0.77,1.53,3.06,0,0,26.04,0.77,13.02,4.6,0,0.77,3.06,0,0.77,0.77,0,0,0,19.15,0,0,0,0.77,1.53,0
120,0,0,0,1.96,3.92,3.92,50.95,0,0,1.96,0,0,0,3.92,1.96,0,0,0,0,43.12,0,35.28,17.64,5.88,0,1.96,0,0,3.92,0,1.96,0,11.76,0,5.88,0,0,3.92,0
