stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,15,5,0,3,0,0,4,2,0,0,0,0,0,0,0,4,0,0,7,82,2,0,0,3,2,7,0,5,37,0,0,1,0,0
 24-34,0,0,0,8.21,0,0,18.88,0,0,4.93,0,2.46,0.82,0,0,0.82,0.82,0.82,21.34,0,0,10.67,193.72,0.82,0.82,1.64,0,9.85,0,0.82,0,40.22,0,0,3.28,0,0
 36-46,0,0,0,1.61,0,0,30.62,0,0,1.61,0,1.61,0,0,0,0,0,0,11.28,0,0,5.64,128.91,0.81,0,0.81,0,6.45,0,0,0,28.2,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,0,35.58,0,0,4.59,0,0.57,0,0,1.15,0,0,0,10.9,0,1.72,1.15,87.79,0,1.15,1.15,0,0.57,0,0,0,18.36,0,0,1.72,0,0.57
 60-70,0,0,0,1.96,0,0,53.98,0.98,0,7.85,0,0.98,0.98,0,0,0.98,0,0,13.74,0,0,0.98,138.39,0,1.96,0,0,7.85,0,0,0,19.63,0,0,1.96,0,0
 72-82,0,0,0,3.93,0,0.98,30.43,0,2.94,14.72,0.98,0,2.94,0,1.96,1.96,0,0,28.47,0,0.98,0.98,109.95,0,0.98,0.98,0,3.93,0,0,0,6.87,0,0,1.96,0.98,0
 84-94,0,0,0,1.06,4.25,0,18.05,0,0,8.5,0,0,4.25,1.06,1.06,0,0,1.06,11.68,0,1.06,3.19,38.23,0,0,2.12,0,5.31,0,1.06,0,3.19,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,0,16.39,0,0,5.46,0,0,3.28,1.09,0,1.09,1.09,0,7.65,0,0,0,38.25,0,0,0,0,3.28,0,0,0,3.28,0,0,1.09,1.09,1.09
108-118,0,0,0,3.06,0,0,13.79,0,0.77,2.3,1.53,0,2.3,0,3.06,0,0,0.77,9.19,0.77,0.77,2.3,42.13,0,0.77,0,0,0.77,0,0,0,0.77,0.77,0.77,1.53,0,0
120,0,0,0,3.92,0,0,17.64,0,1.96,7.84,0,1.96,3.92,0,3.92,0,0,0,17.64,0,0,3.92,47.03,0,1.96,1.96,0,0,0,1.96,0,1.96,1.96,0,1.96,0,0
