stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,868.56,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1983,0,0,1,1,0,1,0,3,0,0,29,0,0,9,0,3,11,0,2,16,0,0,1,0,0,5,3,1,0,0,6,0,0,1,0,0
 24-34,0,0,0,751.9,0,0,6.57,8.21,0,0,0,0,0.82,0,0,0,0,3.28,0,1.64,9.85,0,1.64,41.86,0.82,1.64,0.82,0,0,0.82,0,0,1.64,0.82,11.49,0,0,0,0,0.82
 36-46,0,0,0,301.32,0,0,4.83,10.47,0,0,0,0,0,0.81,0.81,0,0,0,0.81,3.22,3.22,0,0.81,15.31,0,0.81,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0,0.81
 48-58,0,0,0,178.45,0,0,6.89,15.49,0.57,0.57,0,0,0,0,0.57,0,0,0,0,1.72,2.3,0,0,12.62,0,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,200.23,0,0,4.91,27.48,0,0.98,0.98,0,0,0.98,0,0,0,0,0,2.94,1.96,0.98,0,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 72-82,0,0,0,326.89,0,0,6.87,25.52,0.98,1.96,0,0,0,0,0,0,0,0,0,6.87,6.87,0,0,10.8,0,0,0,0,0,0,0,0,0,0,2.94,1.96,0,0,1.96,0
 84-94,0,0,0,896.36,1.06,0,9.56,94.52,0,3.19,1.06,0,0,0,2.12,0,1.06,0,0,9.56,13.81,0,0,11.68,0,0,0,0,0,4.25,0,0,0,0,2.12,1.06,1.06,0,3.19,0
 96-106,0,1.09,0,1592.28,13.11,0,25.14,210.92,1.09,15.3,14.21,0,1.09,4.37,6.56,0,1.09,1.09,0,28.41,24.04,1.09,2.19,63.39,2.19,7.65,1.09,0,1.09,12.02,0,1.09,0,0,3.28,9.84,1.09,3.28,1.09,1.09
108-118,0,0,0,1979.25,1.53,3.83,18.38,362.3,0.77,10.72,32.94,0,0.77,0.77,13.02,0.77,2.3,1.53,0,27.57,16.85,0,1.53,52.85,0.77,6.13,0.77,0,0.77,8.43,0,2.3,0,0,1.53,24.51,1.53,3.06,2.3,1.53
120,0,0,0,1540.39,1.96,1.96,29.4,295.93,3.92,9.8,7.84,0,0,1.96,3.92,1.96,1.96,1.96,0,11.76,25.48,0,1.96,45.08,0,3.92,1.96,0,0,1.96,0,0,0,0,1.96,11.76,1.96,0,0,0
