stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,52.71,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,110.33,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,7.89,0,0,2.63,0,0,0,65.72,2.63,26.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,12.59,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,2,2,2,0,0,0,0,4,3,26,1,1,0,0,13,0,1,7,19,0
 24-34,0,0,1.64,1.64,0,1.64,0,0.82,0,0,1.64,1.64,9.03,0,0,0,0,0,0,0,3.28,1.64,1.64
 36-46,0,0,0,0,0,3.22,0,0.81,0,0,1.61,0,4.03,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.3,0,0,0,0,2.3,0,1.15,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,3.92,1.96,1.96,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
