stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,2.63,0,5.26,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,88.12,9.44,0,25.18,0,0,0,3.15,0,0,3.15,0,0
 14-21,0,0,0,0,6,1,3,0,0,0,1,1,0,0,0,0,0,0,0,4,0,2,49,3,0,1,0,0,10,1,1,5,38,0,1
 24-34,0,0,0,0,0,1.64,4.1,0,0,0,0.82,0,0,0,0,0,0,0.82,0,6.57,0,2.46,44.33,0.82,0,0,1.64,0,0,0,0,0,13.95,0,0
 36-46,0,0,0.81,0,0.81,0,9.67,0,0,0.81,0.81,0,0,0.81,0,0,0,0,0,5.64,0,1.61,70.9,0,0,0,3.22,0,0,0,0,0,17.72,0,0.81
 48-58,0,0,0,0,0,0,12.62,0.57,0,1.15,5.16,0,0,0,0,0,0,0,0.57,4.02,0,0.57,40.74,0,0.57,0,5.74,0,0,0,0.57,0,9.75,0,0
 60-70,0,0,0,0,0,0,19.63,0,0,0,13.74,0,0.98,0,0,0,0,0,0,4.91,0,0,41.22,0,0,0,4.91,0,0,0,0,0,4.91,0,0
 72-82,0,0,0,0,0.98,4.91,33.38,0,0.98,0,22.58,0,0,0.98,0,0,0,0,0,7.85,0,0.98,45.16,0,0,0,6.87,0,0,0,0,0,9.82,0,0
 84-94,0,0,0,0,0,1.06,18.05,0,0,1.06,5.31,1.06,0,0,0,0,0,0,0,8.5,0,0,22.3,0,1.06,0,4.25,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,1.09,4.37,14.21,0,0,3.28,12.02,0,0,0,1.09,1.09,1.09,0,0,3.28,0,0,20.76,0,2.19,0,1.09,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0.77,0.77,0.77,9.19,0,0,0,11.49,0,0,0,0,0,0,0,0,6.13,0.77,0,26.81,0,0,0,0,0,0,0,0,0,1.53,0,0.77
120,0,0,0,0,1.96,3.92,17.64,0,0,0,15.68,0,0,0,1.96,0,1.96,0,0,3.92,0,0,37.24,0,1.96,0,1.96,0,0,0,0,0,0,0,0
